# Mean DMX value = +4.029682e-05 
# Uncertainty in average DM = 8.55857e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57682.8599 -7.4699975e-04 4.432e-04 57682.8028 57682.9171 DMX_0001 
57712.2674 -2.0140694e-03 3.691e-04 57711.6953 57712.8396 DMX_0002 
57744.6895 -2.6150565e-03 1.215e-03 57744.6316 57744.7474 DMX_0003 
57745.6776 -1.1745043e-03 3.838e-04 57745.6202 57745.7351 DMX_0004 
57893.7489 -1.3923815e-03 2.828e-04 57893.1842 57894.3136 DMX_0005 
57921.7018 -1.5724104e-03 2.804e-04 57921.1593 57922.2442 DMX_0006 
57948.6129 -1.2792509e-03 2.759e-04 57948.0479 57949.1778 DMX_0007 
57978.5335 -1.2299790e-03 3.383e-04 57977.9741 57979.0930 DMX_0008 
58009.5542 -1.1131830e-03 2.908e-04 58009.0164 58010.0921 DMX_0009 
58039.4104 -8.7567095e-04 2.771e-04 58038.9239 58039.8970 DMX_0010 
58070.3430 -1.4103983e-03 4.063e-04 58069.7381 58070.9479 DMX_0011 
58138.1483 -2.5202436e-04 3.647e-04 58137.6304 58138.6662 DMX_0012 
58161.0486 +3.0492146e-04 2.421e-04 58160.4849 58161.6123 DMX_0013 
58187.9848 +8.0861855e-04 7.483e-04 58187.4119 58188.5577 DMX_0014 
58211.8874 +1.2876505e-04 2.621e-04 58211.3301 58212.4448 DMX_0015 
58244.8212 -9.3440448e-05 2.486e-04 58244.2665 58245.3758 DMX_0016 
58267.7944 -1.8388550e-04 3.032e-04 58267.2829 58268.3059 DMX_0017 
58301.6593 -1.8615263e-04 2.895e-04 58301.0995 58302.2191 DMX_0018 
58335.5381 -5.2957695e-05 2.757e-04 58334.9866 58336.0897 DMX_0019 
58365.4525 +9.5340016e-05 2.904e-04 58364.9047 58366.0003 DMX_0020 
58396.8450 +1.3314254e-03 6.988e-04 58396.7871 58396.9029 DMX_0021 
58425.2641 -4.5080740e-05 2.634e-04 58424.7115 58425.8167 DMX_0022 
58460.6653 -8.9531650e-04 1.077e-03 58460.6071 58460.7234 DMX_0023 
58461.6638 -4.9266431e-04 2.682e-04 58461.6054 58461.7222 DMX_0024 
58490.1183 +6.0321759e-04 2.761e-04 58489.5989 58490.6378 DMX_0025 
58518.0501 +9.4080393e-04 2.241e-04 58517.4483 58518.6519 DMX_0026 
58544.4343 -1.1629997e-04 4.134e-04 58544.3769 58544.4918 DMX_0027 
58581.8328 +9.0556079e-04 2.617e-04 58580.2726 58583.3930 DMX_0028 
58607.2688 +7.4818857e-04 3.202e-04 58607.2103 58607.3272 DMX_0029 
58636.7454 +1.2514329e-04 3.140e-04 58636.1325 58637.3583 DMX_0030 
58671.5985 +6.8708733e-04 2.625e-04 58671.0462 58672.1508 DMX_0031 
58699.5138 +1.0485920e-03 3.304e-04 58698.9578 58700.0698 DMX_0032 
58729.4276 +1.9049799e-03 2.545e-04 58728.8708 58729.9844 DMX_0033 
58759.3518 +1.0385080e-03 2.556e-04 58758.7924 58759.9113 DMX_0034 
58786.7686 +1.8873256e-03 1.049e-03 58786.7104 58786.8267 DMX_0035 
58826.6747 +9.4089336e-04 2.085e-04 58826.6162 58826.7331 DMX_0036 
58827.6736 +5.6443580e-05 1.089e-03 58827.6155 58827.7318 DMX_0037 
58849.1135 +2.3814609e-04 2.572e-04 58848.5545 58849.6725 DMX_0038 
58882.0501 +9.6806691e-04 3.215e-04 58881.4913 58882.6088 DMX_0039 
58906.4847 +1.0122116e-03 2.422e-04 58905.4429 58907.5265 DMX_0040 
58939.8943 +1.9674872e-03 6.367e-04 58939.3377 58940.4509 DMX_0041 
