# Mean DMX value = -4.560293e-05 
# Uncertainty in average DM = 8.06502e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55789.3283 -3.5170071e-04 3.413e-05 55789.2653 55789.3913 DMX_0001 
55818.2570 -5.6935120e-05 3.064e-05 55818.1947 55818.3193 DMX_0002 
55844.1580 -2.4340412e-04 2.587e-05 55844.0966 55844.2193 DMX_0003 
55989.7484 +5.3456912e-05 1.474e-05 55989.6828 55989.8141 DMX_0004 
56023.6629 +5.3911758e-04 1.599e-05 56023.5968 56023.7291 DMX_0005 
56057.5795 -1.0640354e-04 1.554e-04 56057.5245 56057.6345 DMX_0006 
56106.4301 -4.0311968e-04 1.554e-04 56106.3746 56106.4855 DMX_0007 
56166.2671 +2.4632831e-04 3.603e-04 56166.2130 56166.3211 DMX_0008 
56236.0733 -1.2376364e-04 1.676e-05 56236.0132 56236.1334 DMX_0009 
56277.9617 -1.2160736e-04 1.935e-05 56277.8964 56278.0270 DMX_0010 
56299.8918 -1.1703951e-04 1.625e-05 56299.8283 56299.9553 DMX_0011 
56319.8419 -1.8165110e-04 1.155e-04 56319.7865 56319.8974 DMX_0012 
56340.7822 +3.5413651e-05 2.044e-05 56340.7183 56340.8461 DMX_0013 
56360.7308 +6.6358914e-05 1.736e-05 56360.6678 56360.7937 DMX_0014 
56380.6745 +6.1270927e-04 1.537e-05 56380.6102 56380.7388 DMX_0015 
56399.6204 +8.0883848e-05 1.609e-05 56399.5561 56399.6848 DMX_0016 
56417.5719 -8.0490872e-05 1.463e-05 56417.5080 56417.6358 DMX_0017 
56458.4631 -1.4119177e-04 1.909e-05 56458.3990 56458.5273 DMX_0018 
56479.4050 -1.4922353e-04 1.671e-05 56479.3414 56479.4686 DMX_0019 
56498.3721 -1.4009416e-04 1.836e-05 56498.3162 56498.4280 DMX_0020 
56519.2784 -1.7013895e-04 4.190e-05 56519.2172 56519.3396 DMX_0021 
56538.2517 -1.5189813e-04 1.373e-05 56538.1879 56538.3155 DMX_0022 
56558.1633 -1.5253375e-04 1.582e-05 56558.0996 56558.2270 DMX_0023 
56578.1100 -1.3447464e-04 1.757e-05 56578.0462 56578.1737 DMX_0024 
56599.0911 -1.5295147e-04 1.457e-05 56599.0273 56599.1549 DMX_0025 
56620.0386 -1.8006364e-04 1.496e-05 56619.9795 56620.0976 DMX_0026 
56662.9356 -1.4475220e-04 1.466e-05 56662.8745 56662.9967 DMX_0027 
56738.6868 +5.0976039e-04 1.529e-05 56738.6217 56738.7518 DMX_0028 
56853.3829 -1.2835374e-05 1.596e-05 56853.3176 56853.4481 DMX_0029 
56874.3077 -2.6981264e-05 1.507e-05 56874.2429 56874.3724 DMX_0030 
56935.1555 -3.5628542e-05 1.443e-05 56935.0908 56935.2203 DMX_0031 
56954.0812 -2.5352542e-05 1.433e-05 56954.0163 56954.1461 DMX_0032 
56978.0314 -1.0226603e-05 1.608e-05 56977.9664 56978.0964 DMX_0033 
57018.9246 +8.8268737e-06 1.363e-05 57018.8598 57018.9895 DMX_0034 
57032.8962 -7.5069659e-05 1.314e-04 57032.8411 57032.9514 DMX_0035 
57033.8901 -7.3108918e-05 1.323e-04 57033.8349 57033.9452 DMX_0036 
57053.8354 +6.2237858e-05 1.466e-05 57053.7710 57053.8997 DMX_0037 
57096.7206 +1.0061109e-03 1.609e-05 57096.6564 57096.7848 DMX_0038 
57116.6708 +1.0126033e-03 1.652e-05 57116.6065 57116.7350 DMX_0039 
57137.6005 +2.8158047e-04 1.456e-05 57137.5360 57137.6649 DMX_0040 
57186.4606 +2.1751490e-05 1.520e-05 57186.3980 57186.5233 DMX_0041 
57200.4237 -4.4292557e-04 1.274e-04 57200.3680 57200.4793 DMX_0042 
57223.3600 -4.6621733e-05 1.340e-05 57223.2963 57223.4237 DMX_0043 
57240.3148 -3.7230967e-05 1.551e-05 57240.2506 57240.3790 DMX_0044 
57264.2478 -4.4241340e-05 1.586e-05 57264.1840 57264.3117 DMX_0045 
57306.1421 -5.2151461e-05 1.464e-05 57306.0785 57306.2058 DMX_0046 
57327.0714 -3.7154519e-05 1.899e-05 57327.0075 57327.1353 DMX_0047 
57348.0164 -3.1642475e-05 1.493e-05 57347.9525 57348.0803 DMX_0048 
57375.9383 -2.0734296e-05 1.478e-05 57375.8744 57376.0023 DMX_0049 
57390.8982 -2.8825721e-05 1.602e-05 57390.8343 57390.9620 DMX_0050 
57418.8350 +2.0651137e-05 1.410e-05 57418.7578 57418.9123 DMX_0051 
57501.6049 +3.4655209e-05 1.609e-05 57501.5409 57501.6688 DMX_0052 
57522.5530 -5.5427332e-05 1.464e-05 57522.4735 57522.6325 DMX_0053 
57538.5126 -1.3406787e-04 1.405e-05 57538.4358 57538.5894 DMX_0054 
57565.4243 -1.3500568e-04 1.449e-05 57565.3604 57565.4882 DMX_0055 
57588.3727 -1.6573049e-04 1.478e-05 57588.3089 57588.4366 DMX_0056 
57608.3074 -1.6528138e-04 1.531e-05 57608.2436 57608.3713 DMX_0057 
57627.2715 -1.3515678e-04 2.286e-05 57627.2026 57627.3403 DMX_0058 
57650.2091 -1.8850099e-04 1.211e-04 57650.1450 57650.2732 DMX_0059 
57668.1408 -1.7299971e-04 1.545e-05 57668.0769 57668.2046 DMX_0060 
57706.0509 -1.3345355e-04 1.537e-05 57705.9873 57706.1146 DMX_0061 
57745.9479 -1.3441949e-04 1.373e-05 57745.8785 57746.0172 DMX_0062 
57772.8374 -1.2041977e-04 1.419e-05 57772.7736 57772.9013 DMX_0063 
57810.7489 +1.5199421e-06 1.549e-05 57810.6845 57810.8132 DMX_0064 
57851.6421 +2.4165155e-04 1.569e-05 57851.5579 57851.7264 DMX_0065 
57893.5541 -9.6412083e-05 1.402e-05 57893.4904 57893.6179 DMX_0066 
57915.4878 -7.3493150e-05 1.477e-05 57915.4154 57915.5603 DMX_0067 
57932.4456 -1.3472058e-04 1.528e-05 57932.3833 57932.5080 DMX_0068 
57937.4213 -1.2730997e-04 1.407e-05 57937.3465 57937.4960 DMX_0069 
57978.3116 -1.1653221e-04 1.403e-05 57978.2478 57978.3754 DMX_0070 
58454.9844 +1.4452782e-04 1.688e-05 58454.9205 58455.0483 DMX_0071 
58475.9411 +1.3510467e-04 1.430e-05 58475.8633 58476.0188 DMX_0072 
58514.8427 +1.4939236e-04 1.415e-05 58514.7752 58514.9102 DMX_0073 
58538.7670 +3.2855598e-04 1.643e-05 58538.7031 58538.8308 DMX_0074 
58558.6874 +3.1026208e-04 1.677e-05 58558.6259 58558.7490 DMX_0075 
58622.5241 +1.7001607e-04 1.546e-05 58622.4610 58622.5871 DMX_0076 
58642.4758 +1.6590337e-04 1.652e-05 58642.3990 58642.5525 DMX_0077 
58683.3595 +1.4955681e-04 1.679e-05 58683.2956 58683.4234 DMX_0078 
58728.2565 +1.6141707e-04 1.714e-05 58728.1844 58728.3285 DMX_0079 
58748.1820 +1.6122484e-04 1.828e-05 58748.1184 58748.2456 DMX_0080 
58793.0804 +1.8303884e-04 1.570e-05 58792.9974 58793.1634 DMX_0081 
58811.0317 +1.7519199e-04 1.625e-05 58810.9616 58811.1019 DMX_0082 
58831.9611 -2.3956248e-03 5.010e-04 58831.9056 58832.0167 DMX_0083 
58943.6973 +5.7503727e-04 1.726e-05 58943.6304 58943.7642 DMX_0084 
58964.6454 -5.1156896e-04 7.616e-04 58964.5896 58964.7013 DMX_0085 
58986.5712 +4.3004796e-04 1.767e-05 58986.5058 58986.6367 DMX_0086 
59007.5110 +3.6616384e-04 2.615e-04 59007.4538 59007.5681 DMX_0087 
59030.4430 +4.3158945e-04 1.594e-05 59030.3763 59030.5097 DMX_0088 
59051.3956 +4.2764556e-04 1.768e-05 59051.3291 59051.4620 DMX_0089 
