# Mean DMX value = +1.013405e-05 
# Uncertainty in average DM = 2.88514e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57682.9608 +7.9990231e-04 1.235e-04 57682.9108 57683.0108 DMX_0001 
57712.3655 +9.5868069e-04 1.258e-04 57711.8024 57712.9286 DMX_0002 
57745.2879 +9.2273581e-04 1.396e-04 57744.7434 57745.8323 DMX_0003 
57893.9503 -1.5239273e-04 8.741e-05 57893.3901 57894.5105 DMX_0004 
57921.8816 -3.3511797e-04 6.168e-05 57921.3259 57922.4374 DMX_0005 
57948.8153 -5.1002452e-04 9.593e-05 57948.2528 57949.3778 DMX_0006 
57978.2346 -5.5088983e-04 1.039e-04 57977.1726 57979.2965 DMX_0007 
58015.5009 -5.2717138e-04 8.861e-05 58014.9401 58016.0617 DMX_0008 
58047.4041 -8.5399473e-04 5.886e-05 58046.8813 58047.9269 DMX_0009 
58060.4514 -9.0855186e-04 7.837e-05 58059.8468 58061.0560 DMX_0010 
58096.8501 -9.3666612e-04 7.454e-05 58096.7950 58096.9052 DMX_0011 
58133.8100 -1.2891245e-03 1.331e-04 58133.7600 58133.8600 DMX_0012 
58142.0918 -1.1764833e-03 8.413e-05 58141.5372 58142.6464 DMX_0013 
58161.2460 -1.1099939e-03 8.233e-05 58160.6902 58161.8019 DMX_0014 
58188.1732 -7.2986833e-04 7.944e-05 58187.6170 58188.7294 DMX_0015 
58217.0891 -7.2938398e-04 1.444e-04 58216.5338 58217.6445 DMX_0016 
58244.0041 -4.5409134e-04 7.847e-05 58243.4351 58244.5732 DMX_0017 
58270.7703 -2.8876548e-04 5.701e-05 58270.2322 58271.3083 DMX_0018 
58301.8609 -3.7822013e-04 9.496e-05 58301.3058 58302.4161 DMX_0019 
58335.7151 -5.6528988e-04 6.839e-05 58335.1608 58336.2695 DMX_0020 
58365.5912 -5.2080186e-04 5.409e-05 58364.9840 58366.1984 DMX_0021 
58397.5550 -2.6522389e-04 6.973e-05 58397.0049 58398.1051 DMX_0022 
58425.4746 +2.5386271e-04 1.128e-04 58424.9283 58426.0209 DMX_0023 
58461.3782 +5.7971621e-05 9.171e-05 58460.8283 58461.9280 DMX_0024 
58490.3147 +4.8327295e-04 1.547e-04 58489.7951 58490.8343 DMX_0025 
58517.2120 +8.4147268e-04 9.435e-05 58516.6498 58517.7742 DMX_0026 
58547.1318 +6.1157112e-04 8.068e-05 58545.6285 58548.6351 DMX_0027 
58582.0459 +5.0310494e-04 8.435e-05 58580.4973 58583.5945 DMX_0028 
58608.9726 -1.7451978e-04 4.808e-05 58608.4211 58609.5242 DMX_0029 
58635.9199 -2.2828805e-04 1.192e-04 58635.3892 58636.4506 DMX_0030 
58671.8039 +9.3813872e-06 1.102e-04 58671.2536 58672.3541 DMX_0031 
58699.7249 +1.3994339e-04 9.114e-05 58699.1725 58700.2773 DMX_0032 
58729.6380 +2.8032061e-04 7.228e-05 58729.0887 58730.1873 DMX_0033 
58759.5645 +5.6038385e-04 1.385e-04 58759.0140 58760.1151 DMX_0034 
58787.4850 +4.9426641e-04 6.614e-05 58786.9357 58788.0343 DMX_0035 
58827.3882 +8.2329405e-04 9.976e-05 58826.8386 58827.9378 DMX_0036 
58849.3251 +1.1624979e-03 1.130e-04 58848.7747 58849.8755 DMX_0037 
58882.2667 +1.0825764e-03 7.802e-05 58881.7202 58882.8131 DMX_0038 
58911.1499 +1.2938182e-03 8.843e-05 58910.6006 58911.6991 DMX_0039 
58945.0679 +1.4058065e-03 9.078e-05 58944.5095 58945.6263 DMX_0040 
