# Mean DMX value = +2.634809e-05 
# Uncertainty in average DM = 8.82730e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56977.7393 +2.7942895e-04 3.382e-05 56977.6667 56977.8120 DMX_0073 
56998.7038 +2.4752348e-04 3.779e-05 56998.6447 56998.7630 DMX_0074 
57018.6480 +1.5641801e-04 3.054e-05 57018.5889 57018.7071 DMX_0075 
57024.6204 +3.1534224e-04 3.683e-05 57024.5601 57024.6808 DMX_0076 
57028.6187 +1.4017402e-04 3.205e-05 57028.5596 57028.6778 DMX_0077 
57032.6085 +9.2340133e-05 3.230e-05 57032.5494 57032.6676 DMX_0078 
57033.5748 +1.7486644e-04 4.342e-05 57033.5185 57033.6311 DMX_0079 
57041.5906 +2.1524401e-04 4.031e-05 57041.5275 57041.6537 DMX_0080 
57049.5552 +3.2413977e-04 3.980e-05 57049.5005 57049.6100 DMX_0081 
57053.5258 +3.4024219e-04 3.984e-05 57053.4674 57053.5843 DMX_0082 
57068.5082 +2.2749886e-04 1.286e-04 57068.4531 57068.5632 DMX_0083 
57069.5039 +2.0694239e-04 3.964e-05 57069.4446 57069.5631 DMX_0084 
57076.4697 -4.7907149e-05 5.074e-05 57076.4197 57076.5197 DMX_0085 
57083.4450 +1.7340352e-04 3.687e-05 57083.3882 57083.5018 DMX_0086 
57090.4148 +7.1058641e-05 4.100e-05 57090.3564 57090.4731 DMX_0087 
57096.4278 +1.1004650e-04 3.967e-05 57096.3689 57096.4867 DMX_0088 
57097.4022 +9.9460816e-05 3.439e-05 57097.3438 57097.4606 DMX_0089 
57108.3900 +1.0647163e-04 2.914e-05 57108.3193 57108.4607 DMX_0090 
57112.3785 +1.2647950e-04 3.699e-05 57112.3134 57112.4437 DMX_0091 
57116.3760 +1.3032416e-04 3.347e-05 57116.3170 57116.4350 DMX_0092 
57118.3536 +1.3813451e-04 3.811e-05 57118.2942 57118.4130 DMX_0093 
57126.3363 +1.3427306e-04 3.019e-05 57126.2611 57126.4115 DMX_0094 
57133.3118 +6.1078381e-05 3.257e-05 57133.2453 57133.3783 DMX_0095 
57137.2962 +1.6557266e-04 3.979e-05 57137.2371 57137.3553 DMX_0096 
57139.2885 +2.5406333e-05 4.546e-05 57139.2294 57139.3476 DMX_0097 
57147.2595 +6.6463105e-05 3.377e-05 57147.2002 57147.3189 DMX_0098 
57186.1701 +6.5894696e-05 3.197e-05 57186.1112 57186.2291 DMX_0099 
57189.1860 +9.5714419e-05 2.518e-05 57189.1209 57189.2511 DMX_0100 
57200.1251 +6.4983310e-05 3.799e-05 57200.0665 57200.1838 DMX_0101 
57205.1169 +3.4033235e-05 3.207e-05 57205.0512 57205.1826 DMX_0102 
57222.1073 -1.4040621e-04 1.435e-04 57222.0573 57222.1573 DMX_0103 
57223.0691 +1.3171389e-04 9.510e-05 57223.0191 57223.1191 DMX_0104 
57233.0811 -1.7292680e-04 7.640e-05 57233.0228 57233.1395 DMX_0105 
57235.0654 +3.1327130e-05 3.403e-05 57235.0061 57235.1248 DMX_0106 
57240.0148 +5.9488139e-07 2.432e-05 57239.9472 57240.0825 DMX_0107 
57243.0279 +8.3693065e-05 3.351e-05 57242.9619 57243.0938 DMX_0108 
57249.0329 +6.4469949e-05 3.138e-05 57248.9735 57249.0922 DMX_0109 
57257.9925 +8.0812045e-05 3.294e-05 57257.9330 57258.0519 DMX_0110 
57263.9477 +3.5156212e-05 3.007e-05 57263.8891 57264.0063 DMX_0111 
