# Mean DMX value = +4.380136e-05 
# Uncertainty in average DM = 1.61266e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56171.5162 +5.2890614e-04 3.154e-05 56170.4356 56172.5968 DMX_0073 
56192.4650 +4.8692130e-04 3.226e-05 56192.3396 56192.5904 DMX_0074 
56208.9473 +4.6731769e-04 3.147e-05 56208.4247 56209.4700 DMX_0075 
56229.3705 +4.5127451e-04 3.132e-05 56229.2382 56229.5028 DMX_0076 
56251.2686 +4.0087207e-04 3.081e-05 56250.2022 56252.3349 DMX_0077 
56267.2253 +3.2812781e-04 2.778e-05 56266.1701 56268.2805 DMX_0078 
56288.2250 +2.7190824e-04 3.244e-05 56288.0974 56288.3527 DMX_0079 
56312.1480 +2.0250267e-04 3.307e-05 56312.0165 56312.2795 DMX_0080 
56331.6102 +8.9379026e-05 3.027e-05 56331.0958 56332.1247 DMX_0081 
56348.9897 -5.8433673e-06 2.994e-05 56346.9289 56351.0506 DMX_0082 
56367.8907 +1.5626711e-05 1.168e-04 56367.8407 56367.9407 DMX_0083 
56386.9461 -9.4400784e-05 3.164e-05 56386.8187 56387.0736 DMX_0084 
56410.9121 -8.5140142e-05 2.865e-05 56410.8621 56410.9621 DMX_0085 
56432.3362 -1.5237700e-04 2.711e-05 56431.7976 56432.8748 DMX_0086 
56452.2865 -2.0582689e-05 2.897e-05 56451.7061 56452.8668 DMX_0087 
56472.6833 -1.3636460e-04 1.363e-04 56472.6333 56472.7333 DMX_0088 
56486.6331 -7.2342071e-05 1.996e-05 56485.4129 56487.8534 DMX_0089 
56493.5785 -4.6583603e-05 2.248e-05 56492.5502 56494.6068 DMX_0090 
56521.5847 -1.4332121e-04 2.477e-05 56520.5281 56522.6413 DMX_0091 
56550.9859 -1.5849038e-04 2.848e-05 56550.4277 56551.5442 DMX_0092 
56585.8696 -2.2226889e-04 2.566e-05 56585.3047 56586.4345 DMX_0093 
56613.8136 -2.5180077e-04 2.516e-05 56613.2989 56614.3282 DMX_0094 
56639.2260 -2.8672985e-04 2.536e-05 56637.1938 56641.2582 DMX_0095 
56674.1344 -3.4355313e-04 3.013e-05 56671.1432 56677.1256 DMX_0096 
56704.5086 -3.7369154e-04 2.987e-05 56702.9425 56706.0747 DMX_0097 
56728.0156 -4.2782360e-04 2.949e-05 56726.9673 56729.0640 DMX_0098 
56734.0496 -4.7857392e-04 1.110e-04 56733.8865 56734.2127 DMX_0099 
56765.8383 -3.3950747e-04 3.008e-05 56765.7883 56765.8883 DMX_0100 
56793.3214 -3.3897058e-04 2.955e-05 56791.7797 56794.8631 DMX_0101 
56826.6924 -2.7511014e-04 3.067e-05 56823.6653 56829.7196 DMX_0102 
56850.6396 -1.7799499e-04 2.922e-05 56849.6102 56851.6691 DMX_0103 
56885.6115 -3.0789312e-04 2.888e-05 56885.5615 56885.6615 DMX_0104 
56893.5078 -2.7741950e-04 3.002e-05 56893.4578 56893.5578 DMX_0105 
56921.0038 -2.8054332e-04 3.234e-05 56920.4445 56921.5631 DMX_0106 
56943.8857 -2.6787965e-04 3.234e-05 56943.3511 56944.4203 DMX_0107 
56978.7608 -3.2559409e-04 3.168e-05 56978.1938 56979.3278 DMX_0108 
57012.7340 -4.2825203e-04 3.259e-05 57012.1607 57013.3073 DMX_0109 
57035.6649 -4.7432460e-04 2.982e-05 57035.1587 57036.1710 DMX_0110 
57071.5524 -4.4953257e-04 3.032e-05 57071.0285 57072.0764 DMX_0111 
57104.4671 -4.2298412e-04 3.039e-05 57103.9517 57104.9825 DMX_0112 
57131.4338 -4.0509577e-04 2.958e-05 57130.8827 57131.9850 DMX_0113 
57161.2896 -4.0828604e-04 3.226e-05 57160.7333 57161.8458 DMX_0114 
57194.2225 -1.5069316e-04 3.201e-05 57193.7122 57194.7327 DMX_0115 
57222.6304 -3.8124481e-04 1.410e-04 57222.5804 57222.6804 DMX_0116 
57248.5664 -3.2033082e-04 1.292e-04 57248.5164 57248.6164 DMX_0117 
57272.5696 -4.6370082e-04 1.251e-04 57272.5196 57272.6196 DMX_0118 
57305.9426 -4.7189771e-04 3.158e-05 57305.3915 57306.4937 DMX_0119 
57336.9124 -4.7057199e-04 3.049e-05 57336.3610 57337.4638 DMX_0120 
57374.2339 -5.2166320e-04 3.489e-05 57371.2257 57377.2421 DMX_0121 
57378.2467 -5.0870692e-04 3.217e-05 57378.1967 57378.2967 DMX_0122 
57394.7071 -5.2361466e-04 3.529e-05 57394.1227 57395.2915 DMX_0123 
57436.1047 -6.5258966e-04 3.209e-05 57433.0395 57439.1698 DMX_0124 
57458.4941 -6.5989534e-04 2.613e-05 57457.9321 57459.0562 DMX_0125 
57488.4114 -6.4665936e-04 2.965e-05 57487.8522 57488.9707 DMX_0126 
57522.3619 -5.3814221e-04 3.036e-05 57521.8275 57522.8963 DMX_0127 
57551.2773 -4.5442380e-04 3.277e-05 57550.7255 57551.8291 DMX_0128 
57585.1830 -5.0538920e-04 3.249e-05 57584.5821 57585.7839 DMX_0129 
57613.6114 -4.3188195e-04 3.137e-05 57612.6005 57614.6223 DMX_0130 
57650.0666 -4.5856469e-04 3.283e-05 57649.5155 57650.6176 DMX_0131 
57673.9741 -4.6690389e-04 3.265e-05 57673.4113 57674.5368 DMX_0132 
57705.8804 -5.0243427e-04 3.314e-05 57705.3543 57706.4065 DMX_0133 
57733.8275 -5.1712330e-04 3.330e-05 57733.2866 57734.3683 DMX_0134 
57767.6721 -6.4357590e-04 3.146e-05 57767.1237 57768.2205 DMX_0135 
57795.5724 -7.0259468e-04 3.180e-05 57795.0263 57796.1186 DMX_0136 
57831.5262 -7.7761134e-04 3.191e-05 57830.9524 57832.1000 DMX_0137 
57859.4424 -6.7504540e-04 3.207e-05 57858.8523 57860.0325 DMX_0138 
57893.3843 -7.8900623e-04 3.118e-05 57892.8281 57893.9404 DMX_0139 
57921.8030 -6.3820746e-04 1.424e-04 57921.7530 57921.8530 DMX_0140 
57949.2346 -6.6381128e-04 3.264e-05 57948.6811 57949.7880 DMX_0141 
57977.6407 -7.1224916e-04 3.093e-05 57976.5878 57978.6935 DMX_0142 
58012.0551 -7.6200440e-04 3.349e-05 58011.5065 58012.6037 DMX_0143 
58035.9825 -7.0717789e-04 4.134e-05 58035.4364 58036.5286 DMX_0144 
58061.9775 -7.1167971e-04 3.431e-05 58061.4216 58062.5334 DMX_0145 
58102.3422 -8.1603709e-04 3.409e-05 58101.3292 58103.3551 DMX_0146 
58135.7547 -9.0963065e-04 3.377e-05 58135.1844 58136.3249 DMX_0147 
58160.6624 -1.0044989e-03 3.207e-05 58160.1118 58161.2131 DMX_0148 
58187.5911 -1.0278481e-03 3.249e-05 58187.0460 58188.1363 DMX_0149 
58216.0169 -9.9260139e-04 1.263e-04 58215.9669 58216.0669 DMX_0150 
58240.4603 -1.0593422e-03 3.184e-05 58239.8987 58241.0219 DMX_0151 
