# Mean DMX value = +1.385467e-05 
# Uncertainty in average DM = 7.52287e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56510.1986 +3.1699896e-04 4.300e-04 56510.1486 56510.2486 DMX_0001 
56668.7739 +6.5816201e-04 1.824e-04 56668.7147 56668.8330 DMX_0002 
56737.5877 +6.2534696e-04 1.883e-04 56737.5299 56737.6454 DMX_0003 
56754.5305 +4.4673385e-04 2.192e-04 56754.4709 56754.5900 DMX_0004 
56842.2721 -2.6095917e-04 2.744e-04 56842.2221 56842.3221 DMX_0005 
56843.2877 +3.4054523e-04 2.298e-04 56843.2284 56843.3470 DMX_0006 
56874.1494 +7.7850598e-04 1.819e-04 56874.0903 56874.2084 DMX_0007 
56886.1783 +9.8346100e-04 1.956e-04 56886.1188 56886.2378 DMX_0008 
56934.0462 +9.4833223e-04 1.722e-04 56933.9866 56934.1057 DMX_0009 
56949.0121 +7.8112221e-04 1.962e-04 56948.9526 56949.0717 DMX_0010 
56969.9447 +6.0065095e-04 1.628e-04 56969.8852 56970.0042 DMX_0011 
56991.8831 +1.1185147e-03 1.728e-04 56991.8236 56991.9425 DMX_0012 
57019.8072 +9.0799659e-04 1.692e-04 57019.7477 57019.8666 DMX_0013 
57033.7737 +8.0685776e-04 1.724e-04 57033.7139 57033.8335 DMX_0014 
57040.7549 +5.4674682e-04 6.351e-04 57040.7049 57040.8049 DMX_0015 
57106.5740 +7.4568559e-04 1.782e-04 57106.5161 57106.6318 DMX_0016 
57124.5059 +6.4010023e-04 1.555e-04 57124.4472 57124.5645 DMX_0017 
57144.4512 +4.4666266e-04 1.754e-04 57144.3926 57144.5099 DMX_0018 
57187.3419 +4.0240178e-04 1.722e-04 57187.2835 57187.4003 DMX_0019 
57208.2767 +5.0784628e-04 1.770e-04 57208.2182 57208.3351 DMX_0020 
57250.1779 +3.0273955e-04 2.167e-04 57250.1279 57250.2279 DMX_0021 
57293.0446 +5.8095644e-04 1.766e-04 57292.9863 57293.1029 DMX_0022 
57317.9859 -9.7912411e-05 2.223e-04 57317.9308 57318.0410 DMX_0023 
57334.9360 +4.4419339e-04 1.602e-04 57334.8707 57335.0013 DMX_0024 
57355.8713 +4.0973087e-04 1.742e-04 57355.8119 57355.9308 DMX_0025 
57389.7855 +3.0393953e-04 1.692e-04 57389.7270 57389.8440 DMX_0026 
57417.7143 +1.4638608e-04 1.715e-04 57417.6558 57417.7728 DMX_0027 
57502.4862 +1.1718570e-04 1.728e-04 57502.4275 57502.5448 DMX_0028 
57523.4208 +7.3607167e-05 1.701e-04 57523.3620 57523.4797 DMX_0029 
57537.3960 +5.2858746e-04 1.786e-04 57537.3375 57537.4546 DMX_0030 
57564.3106 +1.7651263e-04 1.652e-04 57564.2524 57564.3689 DMX_0031 
57587.2449 +7.3690498e-05 1.703e-04 57587.1862 57587.3036 DMX_0032 
57607.1906 +7.2527713e-07 1.665e-04 57607.1319 57607.2492 DMX_0033 
57628.1308 +3.0283997e-04 1.797e-04 57628.0736 57628.1881 DMX_0034 
57649.0870 -8.0083908e-04 3.181e-04 57649.0370 57649.1370 DMX_0035 
57700.9325 +1.7985125e-04 1.748e-04 57700.8735 57700.9915 DMX_0036 
57717.8865 +1.6125950e-04 1.793e-04 57717.8277 57717.9453 DMX_0037 
57738.8287 +4.1060299e-04 1.627e-04 57738.7686 57738.8888 DMX_0038 
57767.7500 +1.0895135e-04 1.803e-04 57767.6911 57767.8088 DMX_0039 
57788.7050 +6.1738768e-05 2.045e-04 57788.6367 57788.7733 DMX_0040 
57809.6497 -4.8984855e-05 1.896e-04 57809.5896 57809.7098 DMX_0041 
57824.5992 -1.3372696e-04 1.789e-04 57824.5407 57824.6577 DMX_0042 
57852.5219 -2.4522007e-04 1.675e-04 57852.4637 57852.5802 DMX_0043 
57872.4757 -1.2885880e-04 1.608e-04 57872.4171 57872.5343 DMX_0044 
57893.4060 -2.2931709e-04 1.734e-04 57893.3473 57893.4647 DMX_0045 
57914.3485 -3.6363957e-04 1.605e-04 57914.2897 57914.4074 DMX_0046 
57936.2896 -1.9954196e-04 1.632e-04 57936.2312 57936.3480 DMX_0047 
57957.2338 -1.0849928e-04 1.660e-04 57957.1752 57957.2924 DMX_0048 
58467.8358 -1.7323255e-04 1.839e-04 58467.7781 58467.8935 DMX_0049 
58509.6982 -3.1611696e-04 1.754e-04 58509.6404 58509.7560 DMX_0050 
