# Mean DMX value = -1.003533e-03 
# Uncertainty in average DM = 4.74621e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57755.1008 +1.8602821e-03 1.290e-03 57755.0419 57755.1597 DMX_0001 
57774.0644 -2.0900447e-03 1.098e-03 57774.0056 57774.1233 DMX_0002 
57797.0287 -6.5007719e-04 1.014e-03 57796.9701 57797.0874 DMX_0003 
57816.9502 -6.0714182e-04 1.070e-03 57816.8924 57817.0081 DMX_0004 
57837.8733 -1.4772106e-03 1.149e-03 57837.8147 57837.9319 DMX_0005 
57886.7252 -1.8717420e-03 1.056e-03 57886.6665 57886.7839 DMX_0006 
57901.7079 +4.3684220e-03 9.672e-04 57901.6493 57901.7665 DMX_0007 
57921.6547 -2.1035991e-03 1.042e-03 57921.5962 57921.7133 DMX_0008 
57937.6100 +2.7759354e-02 1.749e-03 57937.5515 57937.6686 DMX_0009 
57957.5608 +6.5453894e-04 1.044e-03 57957.5021 57957.6194 DMX_0010 
57977.4969 -2.1723805e-03 1.267e-03 57977.4383 57977.5555 DMX_0011 
58464.1637 -1.1344615e-03 1.102e-03 58464.1052 58464.2222 DMX_0012 
58504.0720 -6.4092607e-04 9.769e-04 58504.0220 58504.1220 DMX_0013 
58525.0031 -3.6694812e-03 1.003e-03 58524.9453 58525.0608 DMX_0014 
58545.9484 +4.0121450e-04 1.891e-03 58545.8891 58546.0077 DMX_0015 
58566.9070 +1.6075740e-04 1.595e-03 58566.8480 58566.9659 DMX_0016 
58587.8367 -1.0326166e-03 9.662e-04 58587.7777 58587.8956 DMX_0017 
58607.7583 -1.0678123e-03 1.063e-03 58607.6995 58607.8170 DMX_0018 
58630.7163 +2.7402230e-04 1.117e-03 58630.6574 58630.7752 DMX_0019 
58650.6720 -5.9679848e-04 1.033e-03 58650.6086 58650.7354 DMX_0020 
58690.5422 -1.1833118e-03 1.110e-03 58690.4838 58690.6006 DMX_0021 
58713.4910 -2.4522918e-03 1.107e-03 58713.4287 58713.5532 DMX_0022 
58734.4340 -2.1936697e-03 1.362e-03 58734.3720 58734.4961 DMX_0023 
58755.3758 -5.0687952e-03 1.503e-03 58755.3170 58755.4347 DMX_0024 
58778.3244 -7.3039158e-04 9.832e-04 58778.2629 58778.3859 DMX_0025 
58792.2749 -3.5791234e-04 1.316e-03 58792.2249 58792.3249 DMX_0026 
58818.2021 +1.0017047e-03 1.353e-03 58818.1433 58818.2609 DMX_0027 
58837.1437 -1.0400622e-03 1.168e-03 58837.0859 58837.2016 DMX_0028 
58884.0119 -3.3110651e-03 1.671e-03 58883.9619 58884.0619 DMX_0029 
58900.9925 +8.4974036e-03 2.744e-03 58900.9425 58901.0425 DMX_0030 
58943.8598 -2.0873331e-03 1.349e-03 58943.8098 58943.9098 DMX_0031 
58964.8194 +3.6461890e-04 1.483e-03 58964.7694 58964.8694 DMX_0032 
58986.7488 -2.5181203e-03 1.281e-03 58986.6988 58986.7988 DMX_0033 
59007.6872 -1.8750203e-04 1.271e-03 59007.6287 59007.7458 DMX_0034 
59026.6467 -1.4818777e-03 1.116e-03 59026.5902 59026.7032 DMX_0035 
59041.5922 -2.0365658e-03 1.079e-03 59041.5333 59041.6510 DMX_0036 
59056.5533 -1.5791276e-03 1.146e-03 59056.5033 59056.6033 DMX_0037 
