# Mean DMX value = +8.766185e-05 
# Uncertainty in average DM = 5.42541e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56497.9778 +2.3933449e-04 3.046e-04 56497.9216 56498.0339 DMX_0001 
56662.4903 -1.7337544e-03 7.708e-04 56662.4403 56662.5403 DMX_0002 
56738.3305 -2.6621124e-04 1.165e-04 56738.2671 56738.3939 DMX_0003 
56853.0202 +1.2568225e-03 8.421e-04 56852.9702 56853.0702 DMX_0004 
56873.9560 -8.3276310e-05 1.588e-04 56873.8994 56874.0126 DMX_0005 
56955.7368 +3.8699455e-05 2.234e-04 56955.6730 56955.8005 DMX_0006 
56977.6380 -4.1575093e-04 1.331e-04 56977.5745 56977.7014 DMX_0007 
56998.6227 +1.0877251e-04 9.007e-04 56998.5727 56998.6727 DMX_0008 
57018.5648 -2.6645881e-05 1.471e-04 57018.5012 57018.6285 DMX_0009 
57028.5363 +3.4321595e-05 2.489e-04 57028.4728 57028.5999 DMX_0010 
57032.5188 -3.4385172e-04 1.675e-04 57032.4489 57032.5886 DMX_0011 
57053.4482 -2.0771142e-04 9.670e-05 57053.3887 57053.5077 DMX_0012 
57069.4241 -6.5556620e-04 2.205e-04 57069.3646 57069.4836 DMX_0013 
57096.3487 -2.2523346e-04 2.137e-04 57096.2895 57096.4079 DMX_0014 
57116.2873 +7.7145728e-04 6.947e-04 57116.2373 57116.3373 DMX_0015 
57137.2072 -3.4910684e-04 1.177e-03 57137.1572 57137.2572 DMX_0016 
57186.0926 +1.6590655e-04 2.244e-04 57186.0336 57186.1517 DMX_0017 
57200.0481 -2.5419515e-04 1.822e-04 57199.9892 57200.1070 DMX_0018 
57222.9820 -6.6942069e-05 1.049e-04 57222.9224 57223.0416 DMX_0019 
57239.9270 +5.6510681e-04 2.424e-04 57239.8679 57239.9860 DMX_0020 
57305.7666 -1.8618944e-04 1.933e-04 57305.7097 57305.8235 DMX_0021 
57347.6403 -1.0217046e-04 1.010e-04 57347.5799 57347.7006 DMX_0022 
57375.5344 -5.1895177e-04 2.169e-04 57375.4753 57375.5934 DMX_0023 
57389.5226 +4.4015864e-05 1.357e-04 57389.4584 57389.5869 DMX_0024 
57417.4084 -2.3190436e-04 2.469e-04 57417.3497 57417.4672 DMX_0025 
57502.1855 -4.9755250e-04 3.421e-04 57502.1355 57502.2355 DMX_0026 
57523.1189 -9.8431213e-05 1.545e-04 57523.0600 57523.1778 DMX_0027 
57537.0808 -7.1547259e-05 1.116e-04 57537.0218 57537.1398 DMX_0028 
57564.0068 +1.3701035e-06 1.111e-04 57563.9482 57564.0655 DMX_0029 
57586.9495 -1.0074181e-04 1.324e-04 57586.8904 57587.0085 DMX_0030 
57606.8895 -2.2735552e-04 1.370e-04 57606.8307 57606.9484 DMX_0031 
57627.8321 +1.9062421e-04 1.656e-04 57627.7734 57627.8908 DMX_0032 
57648.7710 -3.2434739e-04 1.765e-03 57648.7210 57648.8210 DMX_0033 
57700.6394 -1.2208845e-04 1.377e-04 57700.5803 57700.6984 DMX_0034 
57717.5863 -4.1332053e-04 1.523e-04 57717.5278 57717.6448 DMX_0035 
57739.5177 -3.5753618e-04 2.337e-04 57739.4677 57739.5677 DMX_0036 
57767.4500 -1.4696950e-05 2.682e-04 57767.3910 57767.5089 DMX_0037 
57788.3974 -3.4677640e-04 2.146e-04 57788.3384 57788.4564 DMX_0038 
57809.3318 -1.6753984e-03 4.843e-04 57809.2818 57809.3818 DMX_0039 
