# Mean DMX value = -1.470461e-03 
# Uncertainty in average DM = 2.18456e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55135.8875 +2.1496605e-02 1.701e-03 55135.8278 55135.9471 DMX_0001 
55170.7881 +2.0833819e-02 1.668e-03 55170.7321 55170.8441 DMX_0002 
55205.6925 +2.0833649e-02 1.400e-03 55205.6307 55205.7544 DMX_0003 
55500.8704 +2.2447690e-02 1.973e-03 55500.8117 55500.9291 DMX_0004 
55638.4999 +2.2792346e-02 1.635e-03 55638.4417 55638.5582 DMX_0005 
55677.4051 +2.4842020e-02 1.577e-03 55677.3466 55677.4637 DMX_0006 
55701.3303 +2.2939392e-02 1.493e-03 55701.2714 55701.3891 DMX_0007 
55732.2162 +2.4906074e-02 1.481e-03 55732.1562 55732.2761 DMX_0008 
55760.1474 +2.3585650e-02 1.503e-03 55760.0877 55760.2072 DMX_0009 
55790.0617 +2.2377178e-02 1.515e-03 55790.0024 55790.1209 DMX_0010 
55818.9790 +2.2077021e-02 1.470e-03 55818.9181 55819.0399 DMX_0011 
55849.8946 +1.8580766e-02 1.463e-03 55849.8361 55849.9531 DMX_0012 
55876.8292 +1.6740121e-02 1.502e-03 55876.7697 55876.8886 DMX_0013 
55911.7270 +1.5243311e-02 1.439e-03 55911.6671 55911.7869 DMX_0014 
55935.6622 +1.3853944e-02 1.441e-03 55935.6017 55935.7226 DMX_0015 
55969.5717 +1.5622232e-02 1.305e-03 55969.5116 55969.6317 DMX_0016 
55997.5298 +1.7094976e-02 4.135e-04 55997.4702 55997.5894 DMX_0017 
56018.4515 +1.9228084e-02 4.074e-04 56018.3863 56018.5166 DMX_0018 
56058.3291 +2.2496648e-02 4.443e-04 56058.2682 56058.3900 DMX_0019 
56107.1925 +2.3966810e-02 9.676e-04 56107.1323 56107.2528 DMX_0020 
56137.1107 +2.3102411e-02 4.512e-04 56137.0499 56137.1715 DMX_0021 
56168.0311 +2.2413478e-02 4.472e-04 56167.9711 56168.0911 DMX_0022 
56252.7850 +1.9260557e-02 1.214e-03 56249.7407 56255.8293 DMX_0023 
56290.6870 +1.7556865e-02 4.539e-04 56290.6282 56290.7458 DMX_0024 
56304.6476 +1.8193469e-02 4.140e-04 56304.5884 56304.7068 DMX_0025 
56326.5907 +1.8185251e-02 4.405e-04 56326.5306 56326.6508 DMX_0026 
56346.5275 +1.8920622e-02 1.127e-03 56346.4775 56346.5775 DMX_0027 
56367.4801 +1.6970688e-02 5.541e-04 56367.4214 56367.5388 DMX_0028 
56384.4352 +1.6072082e-02 4.574e-04 56384.3772 56384.4933 DMX_0029 
56407.3732 +1.6335740e-02 4.714e-04 56407.3128 56407.4337 DMX_0030 
56426.3131 +1.5190584e-02 9.617e-04 56426.2631 56426.3631 DMX_0031 
56467.2103 +1.4420204e-02 4.774e-04 56467.1504 56467.2702 DMX_0032 
56531.0280 +1.6048825e-02 5.482e-04 56530.9696 56531.0864 DMX_0033 
56569.9242 +1.6499837e-02 5.476e-04 56569.8659 56569.9824 DMX_0034 
56591.8615 +1.6406044e-02 5.424e-04 56591.8031 56591.9198 DMX_0035 
56609.8039 +1.6743808e-02 1.398e-03 56609.7539 56609.8539 DMX_0036 
56627.7734 +1.5194797e-02 7.753e-04 56627.7234 56627.8234 DMX_0037 
56647.7196 +1.2552958e-02 6.362e-04 56647.6696 56647.7696 DMX_0038 
56668.6898 +1.1406272e-02 6.076e-04 56668.6297 56668.7499 DMX_0039 
56737.4940 +9.1544122e-03 5.308e-04 56737.4340 56737.5540 DMX_0040 
56754.4467 +9.2867897e-03 7.192e-04 56754.3867 56754.5067 DMX_0041 
56842.2113 +3.6356733e-03 5.409e-04 56842.1512 56842.2714 DMX_0042 
56933.9641 +5.2055850e-03 5.283e-04 56933.9039 56934.0242 DMX_0043 
56969.8599 +5.3319766e-03 5.244e-04 56969.7997 56969.9201 DMX_0044 
56991.7988 +4.1529561e-03 4.945e-04 56991.7389 56991.8587 DMX_0045 
57019.7225 +3.2590177e-03 5.525e-04 57019.6624 57019.7827 DMX_0046 
57033.6890 +3.4963049e-03 1.132e-03 57033.6312 57033.7467 DMX_0047 
57040.6691 +4.3013702e-03 7.774e-04 57040.6101 57040.7281 DMX_0048 
57106.4773 -4.4968457e-04 4.757e-04 57106.4182 57106.5365 DMX_0049 
57124.4281 -1.4358880e-03 4.086e-04 57124.3689 57124.4872 DMX_0050 
57144.3752 -1.0656684e-03 4.423e-04 57144.3161 57144.4343 DMX_0051 
57208.1896 +1.0456493e-03 1.248e-03 57208.1396 57208.2396 DMX_0052 
57228.1352 +6.7303791e-04 1.120e-03 57228.0852 57228.1852 DMX_0053 
57250.0930 +8.1225768e-04 5.181e-04 57250.0338 57250.1523 DMX_0054 
57292.9669 +6.8871167e-04 4.386e-04 57292.9078 57293.0260 DMX_0055 
57316.9125 -2.3861482e-04 3.558e-04 57316.8534 57316.9717 DMX_0056 
57334.8519 -2.6476491e-04 3.363e-04 57334.7927 57334.9111 DMX_0057 
57355.7876 -8.7666148e-04 3.697e-04 57355.7307 57355.8444 DMX_0058 
