# Mean DMX value = -9.822893e-05 
# Uncertainty in average DM = 2.28432e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53218.0274 -9.0226867e-04 4.477e-04 53216.8589 53219.1959 DMX_0001 
53292.3890 -1.9159779e-03 4.180e-04 53291.7378 53293.0402 DMX_0002 
53448.2665 -1.0198104e-03 3.393e-04 53446.1379 53450.3952 DMX_0003 
53653.1948 -1.8613916e-03 5.758e-04 53651.5487 53654.8409 DMX_0004 
53694.5434 -8.9644863e-04 2.012e-04 53693.4232 53695.6637 DMX_0005 
53738.4547 -1.7293102e-03 6.777e-04 53738.3994 53738.5099 DMX_0006 
53768.4213 -5.6615443e-04 4.028e-04 53766.3268 53770.5158 DMX_0007 
53799.2961 -8.7406222e-04 2.569e-04 53798.1463 53800.4459 DMX_0008 
53889.5498 -9.7132159e-04 5.040e-04 53888.9054 53890.1942 DMX_0009 
53980.7949 -1.5566988e-03 3.854e-04 53979.6478 53981.9420 DMX_0010 
54011.7102 -9.0202484e-04 2.188e-04 54009.5644 54013.8561 DMX_0011 
54219.1711 -1.4425402e-03 5.111e-04 54218.0530 54220.2892 DMX_0012 
54374.2244 -1.1572030e-03 4.519e-04 54373.5686 54374.8801 DMX_0013 
54401.1380 -4.4535994e-04 4.088e-04 54400.4901 54401.7859 DMX_0014 
54429.0721 -1.1293358e-03 2.062e-04 54428.4172 54429.7270 DMX_0015 
54463.9687 -1.8409226e-05 2.452e-04 54462.3237 54465.6137 DMX_0016 
54552.2804 -3.3526340e-04 7.099e-04 54551.1793 54553.3815 DMX_0017 
54578.6521 -6.2664639e-04 3.001e-04 54576.0048 54581.2994 DMX_0018 
54641.4750 -6.5918384e-04 2.394e-04 54640.8279 54642.1221 DMX_0019 
54709.2937 -5.4381782e-04 3.603e-04 54707.6478 54710.9396 DMX_0020 
54914.7319 -4.8656381e-04 2.542e-04 54913.0867 54916.3772 DMX_0021 
54943.1564 +1.4317252e-05 4.054e-04 54942.0063 54944.3065 DMX_0022 
55004.4859 +1.1441382e-05 3.767e-04 55003.8373 55005.1344 DMX_0023 
55069.3082 +2.5601131e-04 4.746e-04 55065.6677 55072.9486 DMX_0024 
55120.6637 -6.9985691e-04 2.711e-04 55118.5193 55122.8082 DMX_0025 
55244.3257 -4.3447643e-04 2.360e-04 55243.1793 55245.4721 DMX_0026 
55276.7363 -4.6424787e-04 1.343e-04 55275.1909 55278.2817 DMX_0027 
55338.5673 -6.0773220e-04 2.744e-04 55337.0212 55340.1135 DMX_0028 
55361.0032 -3.8229394e-04 1.859e-04 55360.9478 55361.0587 DMX_0029 
55392.9682 -2.5942920e-04 1.803e-04 55389.9315 55396.0049 DMX_0030 
55430.3604 +7.0132777e-04 3.372e-04 55429.8117 55430.9092 DMX_0031 
55462.7719 -4.1062024e-04 7.459e-05 55461.7245 55463.8193 DMX_0032 
55493.1444 -4.7712527e-04 9.618e-05 55492.5963 55493.6924 DMX_0033 
55521.0677 -8.6410597e-05 5.217e-04 55520.5196 55521.6159 DMX_0034 
55543.0522 -2.1194987e-04 9.904e-05 55542.5032 55543.6013 DMX_0035 
