# Mean DMX value = -1.665782e-04 
# Uncertainty in average DM = 2.01834e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.3971 -3.1083833e-04 1.451e-04 53267.2866 53275.5075 DMX_0001 
53448.2705 -9.6793296e-04 1.840e-04 53446.1960 53450.3449 DMX_0002 
53535.4603 -7.4554764e-04 1.328e-04 53534.8014 53536.1192 DMX_0003 
53645.6792 -6.8844063e-04 2.059e-04 53639.5436 53651.8149 DMX_0004 
53688.5596 -5.9129934e-04 9.216e-05 53681.5263 53695.5929 DMX_0005 
53737.4184 -7.3149343e-04 1.611e-04 53736.2656 53738.5713 DMX_0006 
53770.3833 -8.1504046e-04 1.804e-04 53769.2868 53771.4797 DMX_0007 
53799.2667 -8.5625546e-04 1.416e-04 53798.1167 53800.4167 DMX_0008 
53838.6590 -1.2430235e-03 2.024e-04 53838.0201 53839.2979 DMX_0009 
53858.5999 -1.3322914e-03 3.586e-04 53857.9544 53859.2455 DMX_0010 
53889.5148 -7.2639522e-04 9.425e-05 53888.8689 53890.1606 DMX_0011 
53918.4310 -5.1547067e-04 9.694e-05 53917.7826 53919.0794 DMX_0012 
53980.7558 -3.7470531e-04 1.468e-04 53979.6089 53981.9027 DMX_0013 
54036.0866 -7.9635843e-04 1.673e-04 54035.4559 54036.7172 DMX_0014 
54068.5142 -1.0303692e-03 2.966e-04 54064.3754 54072.6531 DMX_0015 
54100.9305 -1.1785643e-03 2.190e-04 54100.2789 54101.5821 DMX_0016 
54156.7740 -1.0011974e-03 1.626e-04 54156.1269 54157.4211 DMX_0017 
54184.6966 -9.4844278e-04 1.620e-04 54184.0482 54185.3450 DMX_0018 
54219.1026 -8.5612185e-04 1.335e-04 54217.9529 54220.2523 DMX_0019 
54374.1814 -1.6660018e-04 3.565e-04 54373.5301 54374.8327 DMX_0020 
54401.1046 -5.4561067e-04 1.632e-04 54400.4568 54401.7524 DMX_0021 
54429.0412 -7.8883069e-04 4.010e-04 54428.3803 54429.7022 DMX_0022 
54463.9349 -7.4708667e-04 1.918e-04 54462.2883 54465.5815 DMX_0023 
54494.8401 -7.8955624e-04 1.873e-04 54494.1837 54495.4964 DMX_0024 
54552.1507 -1.1373112e-03 1.566e-04 54551.0533 54553.2480 DMX_0025 
54578.6199 -1.1328516e-03 4.309e-04 54575.9751 54581.2648 DMX_0026 
54641.4445 -7.9991578e-04 2.107e-04 54640.7954 54642.0936 DMX_0027 
54709.2594 -8.5934580e-04 9.209e-05 54707.6126 54710.9062 DMX_0028 
54734.1947 -7.6322443e-04 1.374e-04 54733.5495 54734.8398 DMX_0029 
54796.6860 -6.8283026e-04 1.633e-04 54794.3780 54798.9940 DMX_0030 
54852.8633 -1.0179906e-03 4.385e-04 54850.2176 54855.5090 DMX_0031 
54883.7808 -1.3566806e-03 1.216e-04 54882.1348 54885.4269 DMX_0032 
54914.6973 -1.7809961e-03 1.227e-04 54913.0517 54916.3429 DMX_0033 
54945.1134 -1.4456839e-03 1.171e-04 54941.9720 54948.2547 DMX_0034 
54975.5301 -1.3116432e-03 8.012e-05 54972.8865 54978.1737 DMX_0035 
55004.4510 -1.4766212e-03 2.661e-04 55003.8020 55005.1000 DMX_0036 
55030.3800 -9.2856099e-04 1.482e-04 55029.7310 55031.0290 DMX_0037 
55069.2740 -7.1298968e-04 2.231e-04 55065.6336 55072.9143 DMX_0038 
55097.6682 -7.2652340e-04 1.527e-04 55094.5262 55100.8103 DMX_0039 
55120.6055 -1.0699797e-03 1.542e-04 55118.4611 55122.7499 DMX_0040 
55156.0301 -1.1236655e-03 1.510e-04 55154.3632 55157.6970 DMX_0041 
55215.3456 -6.2208695e-04 1.896e-04 55214.1980 55216.4932 DMX_0042 
55276.6786 +5.3169120e-05 6.769e-05 55275.1287 55278.2285 DMX_0043 
55306.0976 +1.0935208e-04 1.342e-04 55305.0462 55307.1489 DMX_0044 
55338.5091 +2.5118491e-04 1.245e-04 55336.9590 55340.0591 DMX_0045 
55360.9509 +1.1583299e-04 1.299e-04 55360.9009 55361.0009 DMX_0046 
55392.9134 +6.5128960e-05 1.895e-04 55389.8766 55395.9502 DMX_0047 
55430.3055 -3.4942426e-04 2.707e-04 55429.7565 55430.8544 DMX_0048 
55462.7171 -3.2363035e-04 7.950e-05 55461.6699 55463.7642 DMX_0049 
55493.0865 -1.7643168e-04 6.356e-05 55492.5340 55493.6389 DMX_0050 
55521.0101 -2.9196006e-04 8.326e-05 55520.4576 55521.5625 DMX_0051 
55542.9978 -1.7599302e-04 5.594e-05 55542.4486 55543.5470 DMX_0052 
55578.8991 -3.7291875e-04 1.390e-04 55578.3508 55579.4475 DMX_0053 
55616.7481 -3.2501157e-04 9.703e-05 55616.1956 55617.3006 DMX_0054 
55640.2313 -3.8894001e-04 8.404e-05 55639.1838 55641.2788 DMX_0055 
55672.1432 -2.6484496e-04 1.128e-04 55670.0987 55674.1876 DMX_0056 
55702.0627 -1.6354532e-04 1.080e-04 55700.0180 55704.1073 DMX_0057 
55731.4826 -1.6564786e-04 1.593e-04 55730.9355 55732.0296 DMX_0058 
55765.8397 +8.5401674e-05 8.351e-05 55765.7859 55765.8934 DMX_0059 
55773.8176 +2.3426841e-04 4.094e-04 55773.7640 55773.8711 DMX_0060 
55800.2451 +7.9983617e-05 5.854e-05 55799.6923 55800.7979 DMX_0061 
55827.6648 +6.7415479e-05 5.961e-05 55826.6160 55828.7136 DMX_0062 
55865.0643 +3.2873961e-05 2.548e-04 55864.5123 55865.6164 DMX_0063 
55892.9882 -1.3952029e-05 8.221e-05 55892.4359 55893.5406 DMX_0064 
55918.9170 +2.4843519e-04 7.226e-05 55918.3645 55919.4696 DMX_0065 
55948.8366 +4.6018783e-04 9.423e-05 55948.2858 55949.3875 DMX_0066 
55972.2262 +2.5360114e-04 7.213e-05 55972.0982 55972.3542 DMX_0067 
56002.0759 -8.2542149e-05 1.187e-04 56000.0730 56004.0788 DMX_0068 
56034.5409 -1.2105523e-04 2.280e-04 56033.9849 56035.0968 DMX_0069 
56065.3820 -3.0055306e-04 9.074e-05 56064.8479 56065.9162 DMX_0070 
56101.7738 -3.8183372e-04 6.498e-05 56100.7249 56102.8228 DMX_0071 
56130.6980 -9.3660382e-04 3.449e-04 56130.6434 56130.7526 DMX_0072 
56150.6139 -2.3791623e-04 7.096e-05 56149.5557 56151.6720 DMX_0073 
56171.5599 -9.3393694e-05 7.895e-05 56170.4731 56172.6468 DMX_0074 
56192.5094 -1.1888535e-04 6.008e-05 56192.3802 56192.6387 DMX_0075 
56208.9935 -1.1672153e-04 8.061e-05 56208.4651 56209.5219 DMX_0076 
56229.4961 -1.2009843e-04 1.592e-04 56229.4461 56229.5461 DMX_0077 
56251.3152 -1.6847401e-04 6.173e-05 56250.2443 56252.3862 DMX_0078 
56267.2755 -2.2102046e-04 9.799e-05 56266.2132 56268.3377 DMX_0079 
56288.2692 -4.5174700e-04 1.626e-04 56288.1401 56288.3983 DMX_0080 
56312.1865 -1.2555879e-04 8.432e-05 56312.0580 56312.3151 DMX_0081 
56331.6612 -8.1859958e-05 5.582e-05 56331.1454 56332.1770 DMX_0082 
56349.0294 +4.8610101e-05 6.034e-05 56346.9675 56351.0914 DMX_0083 
56367.9302 -1.3626483e-04 1.844e-04 56367.8763 56367.9841 DMX_0084 
56386.9820 -9.3353963e-05 6.045e-05 56386.8551 56387.1088 DMX_0085 
56410.9524 -1.3586759e-04 5.312e-05 56410.8986 56411.0061 DMX_0086 
56432.3640 -1.4707547e-04 6.323e-05 56431.8345 56432.8936 DMX_0087 
56448.7401 -2.3721929e-04 8.263e-05 56445.6304 56451.8498 DMX_0088 
56452.8577 -3.8937251e-04 1.956e-04 56452.8037 56452.9118 DMX_0089 
56472.7227 -1.1115855e-03 5.017e-04 56472.6689 56472.7765 DMX_0090 
56493.6183 -1.3506251e-04 1.073e-04 56492.5857 56494.6508 DMX_0091 
56521.6403 +2.8736890e-04 9.795e-05 56520.5845 56522.6962 DMX_0092 
56551.0404 -1.4635658e-04 7.722e-05 56550.4810 56551.5998 DMX_0093 
