# Mean DMX value = +2.534244e-05 
# Uncertainty in average DM = 1.19478e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56354.4959 -2.1037351e-03 1.053e-04 56354.4459 56354.5459 DMX_0001 
56367.9663 -2.1430277e-03 9.708e-05 56367.4179 56368.5147 DMX_0002 
56389.4018 -2.4934219e-03 7.550e-05 56387.3944 56391.4093 DMX_0003 
56408.8727 -2.5251769e-03 7.261e-05 56407.2550 56410.4905 DMX_0004 
56431.8550 -2.4709082e-03 6.867e-05 56431.2710 56432.4390 DMX_0005 
56450.7548 -2.4510683e-03 9.064e-05 56450.1327 56451.3770 DMX_0006 
56471.6571 -2.4088428e-03 7.583e-05 56471.1326 56472.1817 DMX_0007 
56492.7140 -2.5132740e-03 6.689e-05 56492.1883 56493.2398 DMX_0008 
56522.6023 -2.2045498e-03 8.900e-05 56522.0409 56523.1637 DMX_0009 
56549.9986 -1.8836402e-03 6.586e-05 56548.9235 56551.0736 DMX_0010 
56585.3917 -1.2049187e-03 8.833e-05 56584.8321 56585.9512 DMX_0011 
56606.8971 -9.2490019e-04 1.069e-04 56606.8471 56606.9471 DMX_0012 
56614.8645 -8.6243615e-04 8.382e-05 56614.8087 56614.9203 DMX_0013 
56641.7236 -1.6621112e-04 7.486e-05 56641.6681 56641.7791 DMX_0014 
56643.7533 -1.1312759e-04 1.552e-04 56643.6980 56643.8086 DMX_0015 
56676.1719 +4.8818747e-04 6.989e-05 56675.6277 56676.7162 DMX_0016 
56705.6014 +5.9185476e-04 8.058e-05 56703.5255 56707.6772 DMX_0017 
56735.9556 +1.1257668e-03 9.376e-05 56735.4485 56736.4628 DMX_0018 
56762.9466 +1.1647339e-03 7.493e-05 56762.3556 56763.5376 DMX_0019 
56791.3799 +9.1519040e-04 5.120e-05 56790.3469 56792.4129 DMX_0020 
56828.8084 +9.0794061e-04 6.073e-05 56828.2514 56829.3654 DMX_0021 
56850.6878 +7.5241465e-04 6.754e-05 56850.1358 56851.2397 DMX_0022 
56886.0744 +6.6878447e-04 8.486e-05 56886.0244 56886.1244 DMX_0023 
56894.0887 +7.0667483e-04 9.000e-05 56894.0387 56894.1387 DMX_0024 
56922.5108 +8.2454311e-04 7.381e-05 56921.9182 56923.1033 DMX_0025 
56947.4232 +1.1560822e-03 9.289e-05 56945.9065 56948.9400 DMX_0026 
56978.3572 +1.3774863e-03 8.436e-05 56977.8358 56978.8786 DMX_0027 
57012.2276 +2.2548365e-03 6.721e-05 57011.6649 57012.7904 DMX_0028 
57041.2129 +2.1378425e-03 8.188e-05 57040.6604 57041.7653 DMX_0029 
57079.5550 +2.3881651e-03 8.752e-05 57078.5122 57080.5978 DMX_0030 
57102.0049 +2.5452008e-03 9.268e-05 57101.4205 57102.5893 DMX_0031 
57131.8980 +2.3934824e-03 7.449e-05 57131.3473 57132.4488 DMX_0032 
57161.8253 +2.3301281e-03 1.037e-04 57161.2781 57162.3726 DMX_0033 
57192.2797 +2.0933108e-03 9.838e-05 57192.2297 57192.3297 DMX_0034 
57229.1258 +1.9228783e-03 1.075e-04 57229.0758 57229.1758 DMX_0035 
57248.1405 +1.6005660e-03 1.072e-04 57248.0905 57248.1905 DMX_0036 
57272.1135 +1.2522891e-03 1.494e-04 57272.0635 57272.1635 DMX_0037 
57307.4684 +1.0801747e-03 7.680e-05 57306.9077 57308.0291 DMX_0038 
57336.4619 +8.9647867e-04 6.664e-05 57335.9039 57337.0198 DMX_0039 
57368.8780 +1.4803929e-03 9.176e-05 57367.8416 57369.9143 DMX_0040 
57398.2303 +1.5854200e-03 7.209e-05 57397.6787 57398.7818 DMX_0041 
57435.1991 +1.2137138e-03 7.371e-05 57432.6589 57437.7392 DMX_0042 
57460.5922 +1.1453191e-03 6.691e-05 57459.5074 57461.6770 DMX_0043 
57489.0367 +1.1146458e-03 8.948e-05 57488.4721 57489.6013 DMX_0044 
57518.9701 +1.0175647e-03 9.500e-05 57518.4188 57519.5215 DMX_0045 
57550.8861 +9.9330070e-04 6.995e-05 57550.3349 57551.4373 DMX_0046 
57579.7222 +9.1445619e-04 8.241e-05 57579.2143 57580.2301 DMX_0047 
57614.5981 +5.8489153e-04 7.755e-05 57614.0467 57615.1495 DMX_0048 
57647.5341 +5.6688697e-04 8.047e-05 57646.9838 57648.0844 DMX_0049 
57674.5459 +7.8663800e-04 8.461e-05 57673.9945 57675.0973 DMX_0050 
57704.3792 +7.7356324e-04 9.500e-05 57703.8713 57704.8871 DMX_0051 
57734.2949 +5.1514909e-04 1.023e-04 57733.6508 57734.9390 DMX_0052 
57765.2222 +8.9250134e-04 7.763e-05 57764.6720 57765.7724 DMX_0053 
57796.6207 +7.2918736e-04 9.791e-05 57796.4670 57796.7744 DMX_0054 
57835.9737 +6.9933548e-04 8.249e-05 57835.4248 57836.5225 DMX_0055 
