# Mean DMX value = +1.244151e-04 
# Uncertainty in average DM = 9.13380e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55972.2246 -3.6275605e-03 1.701e-04 55972.1690 55972.2801 DMX_0001 
56001.9899 -3.8022471e-03 1.859e-04 55999.9828 56003.9969 DMX_0002 
56034.4712 -3.8029182e-03 1.730e-04 56033.9175 56035.0249 DMX_0003 
56065.3083 -3.5547101e-03 1.679e-04 56064.7784 56065.8382 DMX_0004 
56101.7036 -3.9283060e-03 1.670e-04 56100.6601 56102.7471 DMX_0005 
56130.6317 -3.9779191e-03 2.963e-04 56130.5817 56130.6817 DMX_0006 
56150.5560 -3.4864240e-03 1.853e-04 56149.4897 56151.6222 DMX_0007 
56171.4885 -3.5815946e-03 1.801e-04 56170.4051 56172.5719 DMX_0008 
56192.4411 -3.4504605e-03 1.785e-04 56192.3150 56192.5671 DMX_0009 
56208.9242 -3.3831629e-03 1.717e-04 56208.4017 56209.4466 DMX_0010 
56229.3450 -3.1355322e-03 1.948e-04 56229.2112 56229.4788 DMX_0011 
56251.2440 -3.4121000e-03 1.734e-04 56250.1779 56252.3101 DMX_0012 
56267.1982 -3.2843715e-03 1.342e-04 56266.1454 56268.2510 DMX_0013 
56288.2013 -3.4411019e-03 1.564e-04 56288.0734 56288.3292 DMX_0014 
56312.1257 -3.2937842e-03 1.536e-04 56311.9930 56312.2584 DMX_0015 
56331.5862 -3.1813091e-03 1.658e-04 56331.0715 56332.1008 DMX_0016 
56348.9678 -3.2927273e-03 1.623e-04 56346.9063 56351.0293 DMX_0017 
56368.4060 -3.1316707e-03 1.843e-04 56367.8183 56368.9937 DMX_0018 
56386.9251 -2.9984948e-03 1.926e-04 56386.7972 56387.0530 DMX_0019 
56410.8918 -3.0563989e-03 2.104e-04 56410.8418 56410.9418 DMX_0020 
56432.3036 -2.9216431e-03 1.843e-04 56431.7774 56432.8298 DMX_0021 
56452.2656 -2.5921852e-03 1.978e-04 56451.6854 56452.8459 DMX_0022 
56472.6639 -2.4353430e-03 3.184e-04 56472.6139 56472.7139 DMX_0023 
56493.5577 -2.4932172e-03 1.962e-04 56492.5296 56494.5858 DMX_0024 
56521.5568 -2.7499842e-03 1.420e-04 56520.5005 56522.6132 DMX_0025 
56550.9590 -2.3364357e-03 1.658e-04 56550.3984 56551.5197 DMX_0026 
56585.8420 -2.5968329e-03 1.349e-04 56585.2766 56586.4073 DMX_0027 
56613.7856 -2.4254235e-03 1.391e-04 56613.2705 56614.3006 DMX_0028 
56639.2009 -2.4115630e-03 1.325e-04 56637.1719 56641.2298 DMX_0029 
56674.1081 -2.1769769e-03 1.612e-04 56671.1143 56677.1018 DMX_0030 
56704.4831 -1.9191090e-03 1.702e-04 56702.9174 56706.0489 DMX_0031 
56726.8592 -1.8789356e-03 1.374e-04 56724.6791 56729.0394 DMX_0032 
