# Mean DMX value = -1.050608e-04 
# Uncertainty in average DM = 2.08522e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57594.1599 -6.3809247e-04 1.059e-05 57594.1063 57594.2136 DMX_0073 
57622.0709 -7.8669241e-04 1.059e-05 57622.0173 57622.1245 DMX_0074 
57640.0112 -8.5179245e-04 1.059e-05 57639.9576 57640.0647 DMX_0075 
57666.9383 -1.1403924e-03 1.059e-05 57666.8848 57666.9919 DMX_0076 
57686.8848 -1.0847924e-03 1.059e-05 57686.8312 57686.9384 DMX_0077 
57710.8174 -1.1170925e-03 1.059e-05 57710.7638 57710.8710 DMX_0078 
57733.7545 -1.3267924e-03 1.059e-05 57733.7009 57733.8081 DMX_0079 
57752.7054 -1.2653925e-03 1.059e-05 57752.6519 57752.7590 DMX_0080 
57775.6397 -1.4246925e-03 1.059e-05 57775.5861 57775.6933 DMX_0081 
57789.6014 -1.4787925e-03 1.059e-05 57789.5478 57789.6550 DMX_0082 
57804.5630 -1.6176925e-03 1.059e-05 57804.5094 57804.6166 DMX_0083 
57823.5115 -1.8928924e-03 1.059e-05 57823.4580 57823.5651 DMX_0084 
57844.4585 -1.9674924e-03 1.059e-05 57844.4011 57844.5160 DMX_0085 
57865.4031 -2.0270925e-03 1.059e-05 57865.3495 57865.4567 DMX_0086 
57873.3726 -2.1340924e-03 1.059e-05 57873.3190 57873.4262 DMX_0087 
57885.3394 -2.1007924e-03 1.059e-05 57885.2858 57885.3929 DMX_0088 
57907.2821 -2.0408924e-03 1.059e-05 57907.2285 57907.3357 DMX_0089 
57927.2376 -2.2927924e-03 1.059e-05 57927.1840 57927.2912 DMX_0090 
57932.1950 -2.2771924e-03 1.059e-05 57932.1450 57932.2450 DMX_0091 
57949.1794 -2.2232924e-03 1.059e-05 57949.1258 57949.2330 DMX_0092 
57970.1101 -2.3612925e-03 1.059e-05 57970.0566 57970.1637 DMX_0093 
58463.7523 -4.5194925e-03 1.059e-05 58463.6987 58463.8058 DMX_0094 
58508.6297 -4.4473925e-03 1.059e-05 58508.5797 58508.6797 DMX_0095 
58528.5804 -4.3905924e-03 1.059e-05 58528.5268 58528.6339 DMX_0096 
58565.4898 -4.2087923e-03 1.059e-05 58565.4362 58565.5433 DMX_0097 
58586.4168 -4.0384925e-03 1.059e-05 58586.3632 58586.4703 DMX_0098 
58628.3022 -3.9691925e-03 1.059e-05 58628.2487 58628.3558 DMX_0099 
58650.2474 -4.0240923e-03 1.059e-05 58650.1939 58650.3010 DMX_0100 
58661.2246 -3.8385925e-03 1.059e-05 58661.1710 58661.2781 DMX_0101 
58675.1792 -3.8720924e-03 1.059e-05 58675.1260 58675.2324 DMX_0102 
58691.1702 -3.6601925e-03 1.059e-05 58691.1166 58691.2237 DMX_0103 
58713.0806 -3.7998924e-03 1.059e-05 58713.0270 58713.1342 DMX_0104 
58738.9988 -3.6942924e-03 1.059e-05 58738.9453 58739.0524 DMX_0105 
58754.9607 -3.6290924e-03 1.059e-05 58754.9071 58755.0143 DMX_0106 
58777.8922 -3.5338925e-03 1.059e-05 58777.8386 58777.9459 DMX_0107 
58794.8308 -3.3649925e-03 1.059e-05 58794.7808 58794.8808 DMX_0108 
58818.7848 -3.5683923e-03 1.059e-05 58818.7312 58818.8384 DMX_0109 
58838.7257 -4.1977923e-03 1.059e-05 58838.6721 58838.7794 DMX_0110 
58893.6024 -3.7971923e-03 1.059e-05 58893.5524 58893.6524 DMX_0111 
58915.5357 -3.8960924e-03 1.059e-05 58915.4857 58915.5857 DMX_0112 
58936.4714 -3.9571925e-03 1.059e-05 58936.4171 58936.5258 DMX_0113 
58957.4143 -3.9372925e-03 1.059e-05 58957.3602 58957.4683 DMX_0114 
58978.3432 -3.9876924e-03 1.059e-05 58978.2932 58978.3932 DMX_0115 
58999.2989 -4.1504924e-03 1.059e-05 58999.2489 58999.3489 DMX_0116 
59021.2545 -4.1963954e-03 2.148e-04 59021.2045 59021.3045 DMX_0117 
59026.2198 -4.3513924e-03 1.059e-05 59026.1654 59026.2742 DMX_0118 
59043.1795 -4.3792924e-03 1.059e-05 59043.1252 59043.2339 DMX_0119 
59065.1247 -4.3006925e-03 1.059e-05 59065.0704 59065.1790 DMX_0120 
