# Mean DMX value = +2.912798e-05 
# Uncertainty in average DM = 1.25701e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57682.9000 -1.7903327e-03 1.273e-03 57682.8500 57682.9500 DMX_0001 
57712.8212 -9.0678068e-04 1.031e-03 57712.7712 57712.8712 DMX_0002 
57744.7305 +9.4496963e-04 1.129e-03 57744.6805 57744.7805 DMX_0003 
57745.7194 +5.2683962e-04 7.512e-04 57745.6694 57745.7694 DMX_0004 
57893.8760 +2.0016027e-03 1.051e-03 57893.3210 57894.4309 DMX_0005 
57921.8040 +8.7133703e-04 8.044e-04 57921.2509 57922.3572 DMX_0006 
57948.7355 +8.6437145e-04 7.049e-04 57948.1778 57949.2933 DMX_0007 
57978.1676 -1.3274476e-03 8.659e-04 57977.1052 57979.2300 DMX_0008 
58015.9292 +9.7282264e-04 1.004e-03 58015.8738 58015.9846 DMX_0009 
58047.3217 -9.3974943e-04 8.410e-04 58046.7922 58047.8513 DMX_0010 
58059.8273 -7.9058112e-04 8.480e-04 58059.7717 58059.8828 DMX_0011 
58094.6710 -9.0026733e-04 6.165e-04 58094.6158 58094.7262 DMX_0012 
58096.7734 -5.3669994e-04 5.830e-04 58096.7182 58096.8287 DMX_0013 
58134.2358 -5.2646076e-04 4.300e-04 58133.6951 58134.7766 DMX_0014 
58142.0351 -1.5041519e-03 4.309e-04 58141.4937 58142.5765 DMX_0015 
58161.1709 -1.9660546e-03 6.712e-04 58160.6203 58161.7216 DMX_0016 
58188.0957 -2.4644127e-03 8.566e-04 58187.5426 58188.6488 DMX_0017 
58217.0163 -1.0855474e-03 8.138e-04 58216.4587 58217.5740 DMX_0018 
58244.4425 -1.2615931e-03 1.112e-03 58244.3925 58244.4925 DMX_0019 
58271.1755 -6.8464625e-04 1.053e-03 58271.1200 58271.2310 DMX_0020 
58301.2859 -3.4752418e-03 3.033e-03 58301.2359 58301.3359 DMX_0021 
58335.1426 -1.3867198e-03 9.478e-04 58335.0926 58335.1926 DMX_0022 
58365.5851 -2.3240182e-03 8.403e-04 58365.0518 58366.1184 DMX_0023 
58397.4944 -7.3183660e-04 7.239e-04 58396.9447 58398.0441 DMX_0024 
58425.4163 -1.5500945e-03 4.242e-04 58424.8730 58425.9595 DMX_0025 
58460.8182 -8.0064197e-04 8.418e-04 58460.7682 58460.8682 DMX_0026 
58461.8169 -1.1927355e-03 8.060e-04 58461.7669 58461.8669 DMX_0027 
58490.2571 -1.9107173e-04 6.669e-04 58489.7336 58490.7805 DMX_0028 
58517.6659 -2.2635994e-04 8.643e-04 58517.6159 58517.7159 DMX_0029 
58548.0860 -2.7563168e-03 1.017e-03 58547.5635 58548.6085 DMX_0030 
58580.4880 -5.0610370e-04 8.784e-04 58580.4380 58580.5380 DMX_0031 
58608.9121 +9.6181863e-04 8.497e-04 58608.3593 58609.4649 DMX_0032 
58635.3779 -4.6098938e-04 1.480e-03 58635.3279 58635.4279 DMX_0033 
58671.7423 -4.7736348e-04 1.027e-03 58671.1921 58672.2925 DMX_0034 
58699.6665 +2.8452415e-04 8.608e-04 58699.1125 58700.2205 DMX_0035 
58729.5770 +1.9618367e-03 9.395e-04 58729.0285 58730.1255 DMX_0036 
58759.0023 +1.0770189e-05 1.235e-03 58758.9523 58759.0523 DMX_0037 
58787.4263 +1.6885123e-03 1.105e-03 58786.8776 58787.9750 DMX_0038 
58826.8273 +3.1710757e-03 5.332e-04 58826.7773 58826.8773 DMX_0039 
58827.8270 +4.9256194e-03 9.920e-04 58827.7770 58827.8770 DMX_0040 
58848.7631 +4.1448465e-03 1.145e-03 58848.7131 58848.8131 DMX_0041 
58881.7033 +9.6135717e-04 1.153e-03 58881.6533 58881.7533 DMX_0042 
58910.5920 +3.6709880e-03 1.487e-03 58910.5420 58910.6420 DMX_0043 
58944.5019 +4.8009270e-03 1.308e-03 58944.4519 58944.5519 DMX_0044 
