# Mean DMX value = -5.248874e-04 
# Uncertainty in average DM = 9.73710e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55135.8875 +2.1463831e-02 1.362e-03 55135.8278 55135.9471 DMX_0001 
55170.7881 +2.1356295e-02 1.317e-03 55170.7321 55170.8441 DMX_0002 
55205.6925 +2.1268752e-02 1.080e-03 55205.6307 55205.7544 DMX_0003 
55500.8704 +2.3653047e-02 1.879e-03 55500.8117 55500.9291 DMX_0004 
55638.4999 +2.5820548e-02 1.457e-03 55638.4417 55638.5582 DMX_0005 
55677.4051 +2.5959657e-02 1.333e-03 55677.3466 55677.4637 DMX_0006 
55701.3303 +2.4507617e-02 1.227e-03 55701.2714 55701.3891 DMX_0007 
55732.2162 +2.6024889e-02 1.193e-03 55732.1562 55732.2761 DMX_0008 
55760.1474 +2.4062406e-02 1.208e-03 55760.0877 55760.2072 DMX_0009 
55790.0617 +2.3964978e-02 1.186e-03 55790.0024 55790.1209 DMX_0010 
55818.9790 +2.2411872e-02 1.201e-03 55818.9181 55819.0399 DMX_0011 
55849.8946 +1.8997868e-02 1.179e-03 55849.8361 55849.9531 DMX_0012 
55876.8292 +1.7112780e-02 1.214e-03 55876.7697 55876.8886 DMX_0013 
55911.7270 +1.5731529e-02 1.214e-03 55911.6671 55911.7869 DMX_0014 
55935.6622 +1.4756849e-02 1.239e-03 55935.6017 55935.7226 DMX_0015 
55969.5717 +1.4635033e-02 1.194e-03 55969.5116 55969.6317 DMX_0016 
55997.5298 +1.6188755e-02 6.260e-04 55997.4702 55997.5894 DMX_0017 
56018.4515 +1.7567077e-02 5.358e-04 56018.3863 56018.5166 DMX_0018 
56058.3291 +2.1169128e-02 5.708e-04 56058.2682 56058.3900 DMX_0019 
56107.1925 +2.4887944e-02 9.328e-04 56107.1323 56107.2528 DMX_0020 
56137.1107 +2.3659509e-02 6.281e-04 56137.0499 56137.1715 DMX_0021 
56168.0311 +2.2448548e-02 5.987e-04 56167.9711 56168.0911 DMX_0022 
56252.7850 +1.8567171e-02 1.213e-03 56249.7407 56255.8293 DMX_0023 
56290.6870 +1.7746632e-02 6.283e-04 56290.6282 56290.7458 DMX_0024 
56304.6476 +1.9411010e-02 5.907e-04 56304.5884 56304.7068 DMX_0025 
56326.5907 +1.8028167e-02 6.450e-04 56326.5306 56326.6508 DMX_0026 
56346.5275 +1.9145471e-02 1.175e-03 56346.4775 56346.5775 DMX_0027 
56367.4801 +1.8378100e-02 8.611e-04 56367.4214 56367.5388 DMX_0028 
56384.4352 +1.8376730e-02 6.825e-04 56384.3772 56384.4933 DMX_0029 
56407.3732 +1.8133612e-02 5.869e-04 56407.3128 56407.4337 DMX_0030 
56426.3131 +1.6011041e-02 9.766e-04 56426.2631 56426.3631 DMX_0031 
56467.2103 +1.5690286e-02 6.560e-04 56467.1504 56467.2702 DMX_0032 
56531.0280 +1.6305039e-02 7.457e-04 56530.9696 56531.0864 DMX_0033 
56548.9873 +1.5809072e-02 7.087e-04 56548.9373 56549.0373 DMX_0034 
56569.9242 +1.3168274e-02 6.838e-04 56569.8659 56569.9824 DMX_0035 
56591.8615 +1.3147355e-02 6.526e-04 56591.8031 56591.9198 DMX_0036 
56609.8039 +1.3305910e-02 1.342e-03 56609.7539 56609.8539 DMX_0037 
56627.7734 +1.2017682e-02 8.062e-04 56627.7234 56627.8234 DMX_0038 
56647.7196 +1.2731601e-02 7.667e-04 56647.6696 56647.7696 DMX_0039 
56668.6898 +1.3759702e-02 7.453e-04 56668.6297 56668.7499 DMX_0040 
56737.4940 +1.1449803e-02 6.404e-04 56737.4340 56737.5540 DMX_0041 
