# Mean DMX value = +4.260275e-05 
# Uncertainty in average DM = 4.66635e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55097.8888 -6.7791346e-04 1.372e-04 55094.7465 55101.0312 DMX_0001 
55120.8301 -3.6934445e-04 1.598e-04 55118.6858 55122.9745 DMX_0002 
55156.2538 -2.7651955e-04 1.019e-04 55154.5871 55157.9204 DMX_0003 
55244.4873 -1.5907225e-04 1.273e-04 55243.3401 55245.6345 DMX_0004 
55278.3947 -4.0526187e-04 6.757e-05 55278.3384 55278.4510 DMX_0005 
55340.2255 -2.6651667e-04 8.835e-05 55340.1694 55340.2817 DMX_0006 
55361.1680 -4.4907236e-04 4.119e-05 55361.1123 55361.2238 DMX_0007 
55393.1285 -4.2551738e-04 5.663e-05 55390.0829 55396.1740 DMX_0008 
55430.5236 -4.2687298e-04 4.187e-05 55429.9687 55431.0784 DMX_0009 
55462.9345 -2.6524562e-04 5.425e-05 55461.8813 55463.9878 DMX_0010 
55493.3069 -2.8237586e-04 4.609e-05 55492.7520 55493.8617 DMX_0011 
55521.2303 -2.4765581e-04 4.584e-05 55520.6756 55521.7850 DMX_0012 
55543.7137 -1.9224980e-04 1.555e-04 55543.6575 55543.7699 DMX_0013 
55578.6185 +2.0123543e-04 4.945e-05 55578.5623 55578.6746 DMX_0014 
55579.6151 +1.0424989e-05 1.333e-04 55579.5593 55579.6709 DMX_0015 
55616.9685 -2.9838309e-04 5.823e-05 55616.4134 55617.5235 DMX_0016 
55640.4491 -4.2262045e-04 4.331e-05 55639.3955 55641.5027 DMX_0017 
55672.3609 -3.9029081e-04 4.142e-05 55670.3106 55674.4112 DMX_0018 
55702.2792 -3.9359450e-04 3.559e-05 55700.2287 55704.3296 DMX_0019 
55731.6985 -2.1996450e-04 4.304e-05 55731.1439 55732.2531 DMX_0020 
55766.0599 -1.3562511e-04 5.451e-05 55766.0034 55766.1164 DMX_0021 
55774.0374 +5.0080114e-04 2.722e-04 55773.9811 55774.0936 DMX_0022 
55800.4659 +8.2472034e-05 6.660e-05 55799.9112 55801.0205 DMX_0023 
55827.8903 +4.6877335e-05 4.802e-05 55826.8365 55828.9440 DMX_0024 
55864.2912 +3.1459758e-04 5.138e-05 55863.7365 55864.8460 DMX_0025 
55893.2121 +3.9725110e-04 4.989e-05 55892.6578 55893.7664 DMX_0026 
55919.1408 +4.3041434e-04 3.713e-05 55918.5861 55919.6956 DMX_0027 
55949.5559 +1.3503026e-03 1.516e-04 55949.4989 55949.6128 DMX_0028 
55977.1162 +3.9150573e-04 4.438e-05 55976.5643 55977.6680 DMX_0029 
56003.0794 +2.6990931e-04 4.732e-05 56002.5557 56003.6031 DMX_0030 
56034.9679 +5.1751008e-04 4.905e-05 56034.4167 56035.5190 DMX_0031 
56067.3917 +4.1537803e-04 4.715e-05 56066.3258 56068.4576 DMX_0032 
56094.8127 +5.8066981e-04 6.567e-05 56094.2623 56095.3631 DMX_0033 
56130.2226 +5.6127152e-04 5.715e-05 56130.1726 56130.2726 DMX_0034 
56138.2186 +8.7369784e-04 1.527e-04 56138.1686 56138.2686 DMX_0035 
56151.6146 +6.0299561e-04 7.311e-05 56151.0647 56152.1645 DMX_0036 
56174.0631 +5.5348211e-04 3.150e-05 56173.0125 56175.1137 DMX_0037 
56194.5014 +6.1808651e-04 3.721e-05 56193.9504 56195.0524 DMX_0038 
56214.4526 +6.9536280e-04 4.625e-05 56213.9057 56214.9995 DMX_0039 
56235.4180 +6.9180338e-04 5.768e-05 56234.8996 56235.9364 DMX_0040 
56250.3656 +7.3056702e-04 5.574e-05 56249.8167 56250.9145 DMX_0041 
56270.2633 +7.7053481e-04 8.380e-05 56269.6821 56270.8445 DMX_0042 
56289.6838 +9.4561613e-04 4.216e-05 56288.6703 56290.6973 DMX_0043 
56310.6082 +1.2664335e-03 4.613e-04 56310.5582 56310.6582 DMX_0044 
56311.6882 +1.5103035e-03 5.989e-05 56311.6382 56311.7382 DMX_0045 
56333.1805 +1.0225190e-03 6.314e-05 56332.5853 56333.7757 DMX_0046 
56353.5552 +7.1342136e-04 4.659e-05 56352.5022 56354.6082 DMX_0047 
56368.0244 +6.9727251e-04 4.974e-05 56367.4749 56368.5738 DMX_0048 
56389.4614 +6.9439980e-04 5.474e-05 56387.4530 56391.4699 DMX_0049 
56408.9345 +6.7995548e-04 5.533e-05 56407.3168 56410.5522 DMX_0050 
56431.9146 +5.8878885e-04 4.658e-05 56431.3287 56432.5005 DMX_0051 
56450.8149 +7.1999636e-04 6.088e-05 56450.1920 56451.4379 DMX_0052 
56471.7163 +6.6841436e-04 6.040e-05 56471.1920 56472.2405 DMX_0053 
56492.7665 +6.0783068e-04 5.822e-05 56492.2384 56493.2947 DMX_0054 
56522.6687 +5.4269176e-04 3.909e-05 56522.1168 56523.2207 DMX_0055 
56550.0759 +6.5865328e-04 4.546e-05 56548.9993 56551.1526 DMX_0056 
