# Mean DMX value = -2.292468e-04 
# Uncertainty in average DM = 6.30970e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57715.0041 +6.3067888e-04 1.115e-03 57714.4567 57715.5514 DMX_0001 
57740.4216 +1.7070695e-03 1.197e-03 57740.3263 57740.5169 DMX_0002 
57893.4754 +5.3012208e-04 7.047e-04 57892.9198 57894.0310 DMX_0003 
57922.3977 +8.0980227e-04 8.136e-04 57921.8465 57922.9488 DMX_0004 
57949.3157 -1.5699637e-04 1.106e-03 57948.7648 57949.8666 DMX_0005 
57976.7306 -1.4123514e-03 1.690e-03 57976.6806 57976.7806 DMX_0006 
58012.1469 +2.9318384e-05 6.881e-04 58011.5973 58012.6965 DMX_0007 
58036.0745 +1.4967847e-03 7.213e-04 58035.5247 58036.6243 DMX_0008 
58062.0643 +1.6980235e-04 6.579e-04 58061.5042 58062.6243 DMX_0009 
58102.4307 -2.7324899e-04 9.864e-04 58101.4146 58103.4468 DMX_0010 
58135.8367 +3.2699949e-04 6.389e-04 58135.2662 58136.4072 DMX_0011 
58160.7424 -4.5959547e-04 6.731e-04 58160.1921 58161.2927 DMX_0012 
58188.1690 +4.8501671e-04 7.604e-04 58188.1190 58188.2190 DMX_0013 
58216.5866 -5.1077267e-04 7.459e-04 58216.0371 58217.1360 DMX_0014 
58240.5419 +2.2833862e-04 6.398e-04 58239.9796 58241.1043 DMX_0015 
58300.8565 +2.0841309e-04 2.712e-03 58300.8065 58300.9065 DMX_0016 
58334.7205 -4.0974853e-03 1.697e-03 58334.6705 58334.7705 DMX_0017 
58364.6373 +1.2953164e-03 2.079e-03 58364.5873 58364.6873 DMX_0018 
58424.4635 +1.6088623e-03 1.921e-03 58424.4135 58424.5135 DMX_0019 
58581.5453 +5.5133370e-04 6.933e-04 58579.9960 58583.0946 DMX_0020 
58635.8998 +5.7686262e-04 2.413e-03 58635.8498 58635.9498 DMX_0021 
58670.8067 +2.9812084e-04 3.226e-03 58670.7567 58670.8567 DMX_0022 
58699.2219 -2.7617163e-03 1.901e-03 58698.6723 58699.7716 DMX_0023 
58728.6383 -9.9087454e-04 3.141e-03 58728.5883 58728.6883 DMX_0024 
58788.0027 -2.7239031e-03 1.578e-03 58787.4526 58788.5528 DMX_0025 
58819.4204 +1.2698523e-03 2.346e-03 58819.3704 58819.4704 DMX_0026 
58879.7223 +8.3852058e-04 9.514e-04 58879.1722 58880.2725 DMX_0027 
58942.5712 +3.2572942e-04 5.902e-04 58942.0364 58943.1059 DMX_0028 
