# Mean DMX value = -5.608109e-05 
# Uncertainty in average DM = 1.66740e-02 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.2494 -3.7785515e-03 4.844e-04 53267.0333 53275.4655 DMX_0001 
53292.6599 -3.7271242e-03 5.364e-04 53292.0259 53293.2940 DMX_0002 
53349.9237 -1.8722847e-03 4.816e-04 53343.8038 53356.0436 DMX_0003 
53447.6280 -9.2554965e-04 5.222e-04 53446.3814 53448.8746 DMX_0004 
53838.9063 -1.3451640e-03 3.897e-04 53838.2594 53839.5532 DMX_0005 
53858.8525 -7.1767447e-04 4.080e-04 53858.1951 53859.5098 DMX_0006 
53889.7725 -1.6768479e-03 3.872e-04 53889.1233 53890.4217 DMX_0007 
53918.6817 -5.8543867e-04 4.568e-04 53918.0319 53919.3315 DMX_0008 
53981.0045 -1.3034083e-03 6.723e-04 53979.8650 53982.1440 DMX_0009 
54068.7834 -7.0964625e-04 3.959e-04 54064.6397 54072.9270 DMX_0010 
54101.1812 -1.1849352e-03 4.620e-04 54100.5330 54101.8293 DMX_0011 
54374.4282 -1.4173012e-04 5.689e-04 54373.7743 54375.0821 DMX_0012 
54429.2868 -5.1530826e-04 6.664e-04 54428.6242 54429.9495 DMX_0013 
54464.1813 -7.7801909e-04 3.911e-04 54462.5325 54465.8301 DMX_0014 
54641.7022 -8.4904518e-04 7.100e-04 54641.0535 54642.3509 DMX_0015 
54766.8646 -5.7815898e-04 3.627e-04 54764.7162 54769.0131 DMX_0016 
54914.9555 +9.2313019e-05 6.116e-04 54913.3160 54916.5950 DMX_0017 
55097.9371 -3.1624664e-04 8.704e-04 55094.7934 55101.0808 DMX_0018 
55156.3083 -6.3682611e-04 3.279e-04 55154.6344 55157.9823 DMX_0019 
55215.6156 -4.6170632e-04 3.116e-04 55214.4683 55216.7629 DMX_0020 
55276.9534 -4.4814404e-04 1.194e-04 55275.4026 55278.5042 DMX_0021 
55307.3630 -3.1956930e-04 2.181e-04 55307.3130 55307.4130 DMX_0022 
55338.7849 -5.0206929e-04 1.434e-04 55337.2348 55340.3351 DMX_0023 
55361.2491 -2.7408431e-04 6.757e-05 55361.1834 55361.3149 DMX_0024 
55393.1975 -4.4240837e-04 1.294e-04 55390.1570 55396.2379 DMX_0025 
55430.5910 -4.9225938e-04 1.299e-04 55430.0353 55431.1468 DMX_0026 
55463.0059 -4.1390162e-04 1.311e-04 55461.9485 55464.0634 DMX_0027 
55493.3568 -5.1247970e-04 2.156e-04 55492.8082 55493.9055 DMX_0028 
55521.2767 -5.9976158e-04 1.864e-04 55520.7277 55521.8257 DMX_0029 
55543.2897 -5.5326562e-04 1.253e-04 55542.7460 55543.8334 DMX_0030 
55579.1844 -3.3010746e-04 1.021e-04 55578.6381 55579.7307 DMX_0031 
55616.5171 -1.9386839e-04 3.618e-04 55616.4671 55616.5671 DMX_0032 
55617.5154 -4.7918689e-04 2.874e-04 55617.4654 55617.5654 DMX_0033 
55640.5173 -5.5043096e-04 1.403e-04 55639.4702 55641.5644 DMX_0034 
55672.4380 -5.0596319e-04 1.009e-04 55670.3861 55674.4899 DMX_0035 
55702.3485 -4.8501184e-04 1.277e-04 55700.3032 55704.3937 DMX_0036 
55731.7652 -3.6512166e-04 1.073e-04 55731.2067 55732.3238 DMX_0037 
55766.1088 -7.0899625e-04 1.850e-04 55766.0588 55766.1588 DMX_0038 
55774.0868 -6.4279488e-04 2.540e-04 55774.0368 55774.1368 DMX_0039 
55800.5187 -4.8243229e-04 1.089e-04 55799.9725 55801.0649 DMX_0040 
55827.9408 -5.3134282e-04 2.122e-04 55826.8923 55828.9892 DMX_0041 
55864.3394 -4.8075118e-04 1.999e-04 55863.7910 55864.8879 DMX_0042 
55893.2625 -6.9363316e-04 1.910e-04 55892.7133 55893.8117 DMX_0043 
55919.1913 -3.7448150e-04 1.469e-04 55918.6427 55919.7400 DMX_0044 
55949.1082 -3.0878201e-04 1.483e-04 55948.5585 55949.6579 DMX_0045 
55976.6575 +7.9499704e-04 1.058e-04 55976.6075 55976.7075 DMX_0046 
56003.1002 +6.5886109e-04 1.602e-04 56002.5762 56003.6242 DMX_0047 
56034.9905 -1.8375587e-04 1.146e-04 56034.4396 56035.5414 DMX_0048 
56067.4128 -1.1787772e-04 1.334e-04 56066.3476 56068.4779 DMX_0049 
56095.3346 -2.5065613e-04 1.892e-04 56095.2846 56095.3846 DMX_0050 
56130.2414 +2.6638339e-06 1.283e-04 56130.1914 56130.2914 DMX_0051 
56138.2402 -6.0951644e-04 4.406e-04 56138.1902 56138.2902 DMX_0052 
56151.6363 -2.7980087e-04 1.633e-04 56151.0862 56152.1863 DMX_0053 
56174.0841 -2.3141491e-04 1.332e-04 56173.0335 56175.1347 DMX_0054 
56194.5223 -4.8416851e-04 1.226e-04 56193.9719 56195.0727 DMX_0055 
56214.4715 -2.8568947e-04 1.498e-04 56213.9224 56215.0206 DMX_0056 
56235.4351 -3.1853250e-04 1.808e-04 56234.9128 56235.9574 DMX_0057 
56250.3862 -6.9831244e-04 1.851e-04 56249.8366 56250.9358 DMX_0058 
56270.2836 -2.8312628e-04 1.470e-04 56269.7028 56270.8644 DMX_0059 
56289.7143 -4.5849071e-04 9.359e-05 56288.6907 56290.7380 DMX_0060 
56311.1686 -1.2743112e-04 1.217e-04 56310.5772 56311.7600 DMX_0061 
56332.6578 -1.0977367e-04 4.073e-04 56332.6078 56332.7078 DMX_0062 
56333.7429 +4.4745411e-04 1.343e-04 56333.6929 56333.7929 DMX_0063 
56352.5744 -4.1701519e-04 2.767e-04 56352.5244 56352.6244 DMX_0064 
56354.5752 -4.4808909e-04 3.107e-04 56354.5252 56354.6252 DMX_0065 
56368.0436 -3.3012201e-04 7.820e-05 56367.4938 56368.5935 DMX_0066 
56389.4812 -2.0586628e-04 1.348e-04 56387.4727 56391.4897 DMX_0067 
56408.9545 -2.6870972e-04 1.767e-04 56407.3367 56410.5724 DMX_0068 
56431.9336 +3.6668257e-05 1.491e-04 56431.3476 56432.5197 DMX_0069 
56450.8352 -1.2107142e-04 1.378e-04 56450.2125 56451.4579 DMX_0070 
56469.7542 -3.2394198e-05 1.223e-04 56467.2472 56472.2613 DMX_0071 
56490.2195 +7.9552270e-05 9.579e-05 56487.0836 56493.3554 DMX_0072 
56522.6907 +9.7419147e-05 1.072e-04 56522.1419 56523.2395 DMX_0073 
56550.1009 +6.6115670e-05 1.391e-04 56549.0227 56551.1791 DMX_0074 
56585.5239 -3.3139307e-05 1.223e-04 56584.9408 56586.1070 DMX_0075 
56606.9897 -2.3618595e-04 3.811e-04 56606.9397 56607.0397 DMX_0076 
56614.9679 +4.7611072e-06 1.336e-04 56614.9123 56615.0235 DMX_0077 
56642.8384 -3.6794335e-04 9.033e-05 56641.7675 56643.9092 DMX_0078 
56676.2609 -4.6171629e-05 1.768e-04 56675.7119 56676.8099 DMX_0079 
56707.6819 -7.1173656e-04 5.312e-04 56707.6319 56707.7319 DMX_0080 
56709.5334 +3.1389993e-04 1.272e-04 56709.4834 56709.5834 DMX_0081 
56735.0051 -3.0159268e-04 1.667e-04 56733.5287 56736.4815 DMX_0082 
56763.0276 +2.3002173e-04 1.233e-04 56762.4411 56763.6142 DMX_0083 
56791.4913 -4.4960154e-05 7.448e-05 56790.4400 56792.5426 DMX_0084 
56828.8971 -3.9236693e-05 1.801e-04 56828.3503 56829.4439 DMX_0085 
56850.7824 +2.6247384e-05 9.597e-05 56850.2331 56851.3316 DMX_0086 
56886.1669 -1.6031899e-04 1.439e-04 56886.1169 56886.2169 DMX_0087 
56894.1774 +4.7555535e-06 1.635e-04 56894.1274 56894.2274 DMX_0088 
56922.5993 +4.4462102e-04 1.825e-04 56922.0123 56923.1864 DMX_0089 
56947.5157 +1.8630063e-04 1.362e-04 56946.0018 56949.0296 DMX_0090 
56978.4445 +1.3852817e-04 1.239e-04 56977.9291 56978.9599 DMX_0091 
57012.3201 +2.2046364e-04 1.652e-04 57011.7568 57012.8834 DMX_0092 
57041.3073 +7.0635070e-04 1.486e-04 57040.7611 57041.8535 DMX_0093 
57078.6560 +1.0404452e-03 1.418e-04 57078.6060 57078.7060 DMX_0094 
57080.6364 +6.5892521e-04 1.708e-04 57080.5864 57080.6864 DMX_0095 
57102.0962 +3.5248670e-04 1.045e-04 57101.5162 57102.6762 DMX_0096 
57131.9911 +1.3315775e-04 1.845e-04 57131.4398 57132.5425 DMX_0097 
57161.9180 +2.1511561e-04 1.384e-04 57161.3681 57162.4679 DMX_0098 
57192.3561 +1.3478181e-04 1.432e-04 57192.3061 57192.4061 DMX_0099 
57258.1243 +3.8959974e-04 2.258e-04 57258.0685 57258.1801 DMX_0100 
57287.0645 +1.3576675e-04 1.054e-04 57285.0165 57289.1124 DMX_0101 
57316.4664 +1.3997342e-04 1.091e-04 57315.9092 57317.0236 DMX_0102 
57345.9505 +2.4202395e-04 1.641e-04 57344.8982 57347.0027 DMX_0103 
57376.3304 +1.0369342e-03 1.066e-04 57375.7414 57376.9195 DMX_0104 
57406.2497 +6.2792785e-04 8.954e-05 57405.6839 57406.8156 DMX_0105 
57438.6986 +1.3937458e-03 2.211e-04 57438.6486 57438.7486 DMX_0106 
57439.6149 +1.5906961e-03 1.342e-04 57439.5598 57439.6699 DMX_0107 
57468.5723 +7.6932063e-04 3.462e-04 57468.5166 57468.6280 DMX_0108 
57495.9416 +6.7010640e-04 6.938e-05 57495.3911 57496.4922 DMX_0109 
57521.9584 +3.5937135e-04 1.146e-04 57521.3926 57522.5242 DMX_0110 
57563.8050 +2.6171997e-04 1.241e-04 57563.2530 57564.3570 DMX_0111 
57586.2395 +2.1431111e-04 1.184e-04 57586.1322 57586.3467 DMX_0112 
