# Mean DMX value = -8.243335e-05 
# Uncertainty in average DM = 1.19883e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53355.9109 +4.8901389e-03 2.226e-05 53355.8380 53355.9838 DMX_0001 
53356.9076 +4.8860444e-03 1.785e-05 53356.8346 53356.9805 DMX_0002 
53357.8939 +4.8912962e-03 1.750e-05 53357.8205 53357.9674 DMX_0003 
53359.8985 +4.9123807e-03 1.694e-05 53359.8271 53359.9698 DMX_0004 
53360.8948 +4.9063133e-03 1.921e-05 53360.8309 53360.9587 DMX_0005 
53361.8867 +4.9021665e-03 1.936e-05 53361.8158 53361.9576 DMX_0006 
53383.8626 +4.8092328e-03 1.652e-05 53383.8000 53383.9252 DMX_0007 
53384.8524 +4.8330068e-03 1.669e-05 53384.7883 53384.9165 DMX_0008 
53385.8534 +4.8303115e-03 1.693e-05 53385.7873 53385.9195 DMX_0009 
53386.8535 +4.8985545e-03 1.679e-05 53386.7861 53386.9209 DMX_0010 
53387.8482 +4.8985554e-03 1.678e-05 53387.7835 53387.9128 DMX_0011 
53448.6617 +4.6334991e-03 1.686e-05 53448.5858 53448.7375 DMX_0012 
53477.5691 +4.4288623e-03 1.810e-05 53477.4840 53477.6541 DMX_0013 
53603.2250 +3.9734086e-03 1.788e-05 53603.1449 53603.3051 DMX_0014 
53629.1506 +3.8994598e-03 1.772e-05 53629.0737 53629.2276 DMX_0015 
53686.9890 +3.7508541e-03 1.544e-05 53686.9091 53687.0690 DMX_0016 
53715.9240 +3.7279458e-03 1.465e-05 53715.8428 53716.0051 DMX_0017 
53750.8336 +3.7483796e-03 1.451e-05 53750.7440 53750.9232 DMX_0018 
53851.5456 +3.8082985e-03 1.555e-05 53851.4657 53851.6255 DMX_0019 
53891.4248 +3.7115503e-03 1.581e-05 53891.3545 53891.4951 DMX_0020 
53926.3488 +3.7330473e-03 1.592e-05 53926.2618 53926.4357 DMX_0021 
53968.2304 +3.7868939e-03 1.738e-05 53968.1444 53968.3165 DMX_0022 
54009.1108 +3.7776123e-03 1.517e-05 54009.0400 54009.1817 DMX_0023 
54044.0227 +3.8312824e-03 1.439e-05 54043.9359 54044.1095 DMX_0024 
54092.8881 +3.8251035e-03 1.396e-05 54092.8194 54092.9568 DMX_0025 
54135.7756 +3.8357551e-03 1.547e-05 54135.6932 54135.8581 DMX_0026 
54519.7155 +3.0110039e-03 1.444e-05 54519.6336 54519.7975 DMX_0027 
54569.5845 +2.8250610e-03 1.360e-05 54569.5075 54569.6615 DMX_0028 
54629.4287 +2.6238566e-03 1.505e-05 54629.3483 54629.5092 DMX_0029 
54678.2961 +2.6532710e-03 1.462e-05 54678.2216 54678.3706 DMX_0030 
54862.7801 +2.4583832e-03 1.320e-05 54862.7022 54862.8580 DMX_0031 
54925.5905 +2.3174108e-03 1.307e-05 54925.5218 54925.6591 DMX_0032 
54981.4461 +2.1281055e-03 1.509e-05 54981.3722 54981.5200 DMX_0033 
54999.4107 +2.1025586e-03 1.644e-05 54999.3473 54999.4740 DMX_0034 
55029.3285 +1.9540143e-03 1.376e-05 55029.2696 55029.3874 DMX_0035 
55071.2131 +1.8636115e-03 1.364e-05 55071.1538 55071.2724 DMX_0036 
55107.1200 +1.8032843e-03 1.488e-05 55107.0557 55107.1844 DMX_0037 
55136.0504 +1.7818525e-03 1.280e-05 55135.9939 55136.1070 DMX_0038 
55165.9565 +1.7514978e-03 1.414e-05 55165.8963 55166.0167 DMX_0039 
55205.8538 +1.6494365e-03 1.452e-05 55205.7905 55205.9171 DMX_0040 
55391.3437 +1.2727692e-03 1.393e-05 55391.2846 55391.4027 DMX_0041 
55423.2653 +1.1982865e-03 1.362e-05 55423.1935 55423.3371 DMX_0042 
55500.0536 +1.0206892e-03 1.329e-05 55499.9967 55500.1105 DMX_0043 
55528.9609 +9.6463624e-04 1.251e-05 55528.9037 55529.0182 DMX_0044 
55673.6005 +8.6194794e-04 1.304e-05 55673.5362 55673.6649 DMX_0045 
55702.4936 +7.7903195e-04 1.411e-05 55702.4381 55702.5490 DMX_0046 
55731.3988 +7.1193237e-04 1.328e-05 55731.3390 55731.4587 DMX_0047 
55758.3148 +6.8295140e-04 1.302e-05 55758.2540 55758.3757 DMX_0048 
55818.1816 +6.2072004e-04 1.315e-05 55818.1220 55818.2413 DMX_0049 
55844.1241 +5.4194754e-04 1.305e-05 55844.0665 55844.1816 DMX_0050 
55912.9191 +4.2146571e-04 1.313e-05 55912.8604 55912.9777 DMX_0051 
55989.7029 +6.0081573e-04 1.239e-05 55989.6432 55989.7627 DMX_0052 
56100.4043 +2.2732542e-04 1.848e-05 56100.3459 56100.4627 DMX_0053 
56187.2044 +3.7571052e-04 3.402e-04 56187.1460 56187.2629 DMX_0054 
56202.1020 +7.0528679e-05 2.109e-05 56202.0520 56202.1520 DMX_0055 
56277.9164 +5.4635031e-05 1.247e-05 56277.8528 56277.9800 DMX_0056 
56278.9586 +5.4646552e-05 2.363e-05 56278.8980 56279.0191 DMX_0057 
56280.9050 +6.0202769e-05 1.505e-05 56280.8216 56280.9884 DMX_0058 
56299.8557 +3.4216634e-05 1.547e-05 56299.7974 56299.9140 DMX_0059 
56319.7856 +8.7178542e-05 1.246e-05 56319.7356 56319.8356 DMX_0060 
56326.7474 -2.2135326e-04 7.371e-04 56326.6974 56326.7974 DMX_0061 
56339.7627 +1.9134078e-04 1.862e-05 56339.6810 56339.8444 DMX_0062 
56340.7361 +1.9110550e-04 1.335e-05 56340.6691 56340.8031 DMX_0063 
56360.6873 +1.9282897e-04 1.964e-05 56360.6204 56360.7542 DMX_0064 
56380.6362 +1.0251307e-04 1.274e-05 56380.5770 56380.6953 DMX_0065 
56399.5772 +1.5236673e-05 1.917e-05 56399.5103 56399.6442 DMX_0066 
56417.5182 -3.5069534e-05 1.864e-05 56417.4609 56417.5756 DMX_0067 
56438.4583 -7.6170172e-05 1.263e-05 56438.3980 56438.5186 DMX_0068 
56458.4211 -8.7163991e-05 1.201e-05 56458.3649 56458.4773 DMX_0069 
56479.3693 -1.0756846e-04 1.339e-05 56479.3084 56479.4302 DMX_0070 
56498.3367 -6.3650585e-05 1.483e-05 56498.2747 56498.3988 DMX_0071 
56519.2468 -1.2416932e-05 1.335e-05 56519.1877 56519.3059 DMX_0072 
56538.2086 -2.9330144e-05 1.165e-05 56538.1420 56538.2752 DMX_0073 
56558.1109 -2.2791878e-05 1.405e-05 56558.0528 56558.1690 DMX_0074 
