# Mean DMX value = +3.287495e-05 
# Uncertainty in average DM = 6.24722e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57713.7957 +7.2254333e-04 8.472e-04 57713.2387 57714.3527 DMX_0001 
57744.2257 +9.3384465e-04 2.854e-03 57744.1757 57744.2757 DMX_0002 
57892.9474 +1.1677024e-03 1.411e-03 57892.8974 57892.9974 DMX_0003 
57949.2964 +4.4503670e-04 7.617e-04 57948.7435 57949.8494 DMX_0004 
57977.7083 -1.2119804e-04 1.576e-03 57976.6574 57978.7592 DMX_0005 
58012.1241 +1.5711337e-03 9.065e-04 58011.5744 58012.6739 DMX_0006 
58062.0430 -6.6249017e-04 9.054e-04 58061.4839 58062.6020 DMX_0007 
58102.4109 +4.7625139e-04 1.140e-03 58101.3975 58103.4243 DMX_0008 
58136.3371 -4.7342879e-03 3.302e-03 58136.2871 58136.3871 DMX_0009 
58160.2223 +1.2727174e-03 3.007e-03 58160.1723 58160.2723 DMX_0010 
58187.1658 +3.6864804e-03 2.586e-03 58187.1158 58187.2158 DMX_0011 
58216.5674 +3.5619558e-03 1.867e-03 58216.0198 58217.1150 DMX_0012 
58240.5196 +3.2428508e-03 1.257e-03 58239.9552 58241.0840 DMX_0013 
58272.4197 +1.5141336e-06 7.875e-04 58271.8697 58272.9697 DMX_0014 
58301.8360 +6.8658606e-04 1.073e-03 58301.7860 58301.8860 DMX_0015 
58365.5929 -1.5557007e-03 9.329e-04 58365.5429 58365.6429 DMX_0016 
58517.6999 +5.6802899e-04 9.479e-04 58517.1662 58518.2336 DMX_0017 
58544.6087 -5.8560393e-04 1.149e-03 58544.0577 58545.1596 DMX_0018 
58581.5077 -1.6394109e-03 1.101e-03 58579.9619 58583.0535 DMX_0019 
58605.9214 +9.6294735e-04 2.449e-03 58605.8714 58605.9714 DMX_0020 
58636.3586 -9.1724591e-04 6.439e-04 58635.8096 58636.9076 DMX_0021 
58699.1806 -1.1197434e-03 1.182e-03 58698.6303 58699.7309 DMX_0022 
58729.0969 +3.1527459e-04 9.056e-04 58728.5473 58729.6465 DMX_0023 
58879.6802 -2.9366111e-03 1.878e-03 58879.1306 58880.2299 DMX_0024 
58907.6034 -1.3089663e-03 1.438e-03 58907.0552 58908.1515 DMX_0025 
58942.5306 -4.0336094e-03 1.330e-03 58941.9950 58943.0661 DMX_0026 
