# Mean DMX value = +8.360385e-05 
# Uncertainty in average DM = 1.38144e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56458.3835 -7.1929210e-04 2.928e-04 56458.3335 56458.4335 DMX_0001 
56479.3263 -6.6472157e-04 2.330e-04 56479.2736 56479.3790 DMX_0002 
56519.2102 -1.4520017e-03 4.125e-04 56519.1602 56519.2602 DMX_0003 
56538.1662 -1.4160543e-03 1.784e-04 56538.1045 56538.2279 DMX_0004 
56599.0054 -1.6030513e-03 1.379e-04 56598.9434 56599.0673 DMX_0005 
56619.9496 -2.8788679e-03 4.076e-04 56619.8962 56620.0029 DMX_0006 
56640.8764 -3.3975746e-04 8.494e-04 56640.8231 56640.9296 DMX_0007 
56662.8369 -1.3158016e-03 1.690e-04 56662.7714 56662.9024 DMX_0008 
56738.6191 -1.7103231e-03 8.404e-04 56738.5654 56738.6727 DMX_0009 
56853.3043 -6.1175708e-04 1.396e-04 56853.2414 56853.3673 DMX_0010 
56935.0678 +2.0940430e-04 1.002e-03 56935.0143 56935.1214 DMX_0011 
56977.9512 -1.4157482e-03 1.434e-04 56977.8885 56978.0140 DMX_0012 
56998.9027 -1.2768666e-03 1.210e-04 56998.8399 56998.9655 DMX_0013 
57018.8467 -1.2328296e-03 2.173e-04 57018.7838 57018.9095 DMX_0014 
57032.8085 -1.1519656e-03 1.633e-04 57032.7447 57032.8722 DMX_0015 
57053.7548 -1.2584928e-03 1.557e-04 57053.6944 57053.8152 DMX_0016 
57069.7240 -1.1028059e-03 1.146e-04 57069.6617 57069.7863 DMX_0017 
57096.6468 -1.1903936e-03 1.798e-04 57096.5844 57096.7092 DMX_0018 
57116.5975 -1.2719268e-03 1.838e-04 57116.5358 57116.6592 DMX_0019 
57137.5259 -1.2020052e-03 1.449e-04 57137.4634 57137.5884 DMX_0020 
57186.3909 -4.4121768e-04 1.231e-04 57186.3291 57186.4527 DMX_0021 
57200.3605 -8.8445365e-04 1.133e-04 57200.2987 57200.4223 DMX_0022 
57223.2966 +4.7951424e-04 6.623e-04 57223.2433 57223.3498 DMX_0023 
57240.2430 -1.1238446e-03 1.013e-04 57240.1812 57240.3048 DMX_0024 
57306.0788 -3.6326817e-04 3.237e-04 57306.0255 57306.1321 DMX_0025 
57327.0002 -6.1466495e-04 2.320e-04 57326.9385 57327.0619 DMX_0026 
57347.9454 -7.9234181e-04 2.953e-04 57347.8837 57348.0071 DMX_0027 
57375.8670 -7.1225651e-04 1.581e-04 57375.8053 57375.9287 DMX_0028 
57390.8271 -3.0103959e-04 1.285e-04 57390.7653 57390.8888 DMX_0029 
57418.7506 -4.7360874e-04 1.159e-04 57418.6888 57418.8123 DMX_0030 
57501.5333 -2.5963471e-04 1.148e-04 57501.4716 57501.5951 DMX_0031 
57522.4673 -3.5283174e-05 1.648e-04 57522.4054 57522.5293 DMX_0032 
57538.4289 +1.2234918e-04 1.301e-04 57538.3668 57538.4909 DMX_0033 
57565.3536 +1.3141905e-04 9.960e-05 57565.2910 57565.4163 DMX_0034 
57588.3026 +5.5847146e-05 1.100e-04 57588.2406 57588.3646 DMX_0035 
57608.2373 -2.0474589e-04 1.094e-04 57608.1753 57608.2994 DMX_0036 
57627.1964 +2.1004284e-04 1.177e-04 57627.1345 57627.2584 DMX_0037 
57650.1215 +5.5174182e-04 1.274e-04 57650.0587 57650.1842 DMX_0038 
57668.0710 +6.1326735e-04 1.346e-04 57668.0090 57668.1330 DMX_0039 
57705.9807 +3.7819709e-04 1.258e-04 57705.9186 57706.0427 DMX_0040 
57745.8723 +3.3409791e-04 2.276e-04 57745.8104 57745.9342 DMX_0041 
57768.8517 +5.7900657e-04 1.559e-04 57768.7990 57768.9043 DMX_0042 
57772.7641 +1.5346866e-04 1.360e-04 57772.7022 57772.8261 DMX_0043 
57810.6785 +1.7465474e-04 1.490e-04 57810.6165 57810.7405 DMX_0044 
57834.6036 +6.9185873e-04 6.018e-04 57834.5536 57834.6536 DMX_0045 
57851.5408 -4.7625605e-04 9.016e-04 57851.4875 57851.5941 DMX_0046 
57893.4839 +4.9627306e-04 1.260e-04 57893.4219 57893.5458 DMX_0047 
57894.4491 +4.7480188e-04 2.214e-04 57894.3871 57894.5110 DMX_0048 
