# Mean DMX value = +1.416768e-04 
# Uncertainty in average DM = 5.02680e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53292.5745 +2.9707302e-03 1.502e-04 53291.9120 53293.2369 DMX_0001 
53447.5824 +2.7930861e-03 1.048e-04 53446.3259 53448.8388 DMX_0002 
53799.4411 +2.8659156e-03 9.861e-05 53798.2912 53800.5911 DMX_0003 
53838.8312 +2.6866767e-03 5.896e-05 53838.1839 53839.4785 DMX_0004 
53858.7938 +2.5637949e-03 1.144e-04 53858.1431 53859.4445 DMX_0005 
53889.7063 +2.6502600e-03 8.539e-05 53889.0581 53890.3546 DMX_0006 
53918.6269 +2.8722473e-03 1.077e-04 53917.9768 53919.2770 DMX_0007 
53980.9559 +2.5801447e-03 7.008e-05 53979.8075 53982.1042 DMX_0008 
54011.8719 +2.6757279e-03 1.039e-04 54009.7269 54014.0168 DMX_0009 
54036.2984 +2.8131728e-03 1.495e-04 54035.6584 54036.9384 DMX_0010 
54068.7147 +2.7166785e-03 9.913e-05 54064.5755 54072.8539 DMX_0011 
54101.1260 +2.5585189e-03 5.467e-05 54100.4777 54101.7743 DMX_0012 
54134.0388 +2.5046051e-03 9.077e-05 54133.3864 54134.6913 DMX_0013 
54374.3793 +2.1196660e-03 1.562e-04 54373.7288 54375.0298 DMX_0014 
54429.2194 +1.9727394e-03 1.135e-04 54428.5683 54429.8705 DMX_0015 
54495.0305 +2.1468790e-03 6.202e-05 54494.3795 54495.6815 DMX_0016 
54527.9420 +1.9052416e-03 6.846e-05 54526.2965 54529.5875 DMX_0017 
54552.8772 +1.5123228e-03 7.585e-05 54552.2283 54553.5261 DMX_0018 
54579.8055 +1.6997100e-03 6.895e-05 54578.1610 54581.4500 DMX_0019 
54641.6347 +1.5864559e-03 8.580e-05 54640.9861 54642.2832 DMX_0020 
54790.7726 +1.5110651e-03 7.079e-05 54784.6829 54796.8624 DMX_0021 
54882.9729 +1.6224337e-03 1.398e-04 54880.3298 54885.6160 DMX_0022 
54914.8871 +1.1988673e-03 8.513e-05 54913.2417 54916.5326 DMX_0023 
54945.2477 +1.7375133e-03 7.787e-05 54942.1612 54948.3342 DMX_0024 
54977.3571 +9.4887880e-04 5.573e-05 54976.3507 54978.3634 DMX_0025 
55004.6408 +1.2845796e-03 5.863e-05 55003.9921 55005.2896 DMX_0026 
55030.5695 +1.5215232e-03 8.183e-05 55029.9213 55031.2177 DMX_0027 
55069.4634 +1.1542203e-03 7.327e-05 55065.8230 55073.1038 DMX_0028 
55097.8600 +1.0467305e-03 8.131e-05 55094.7173 55101.0026 DMX_0029 
55120.7952 +1.3767825e-03 7.698e-05 55118.6513 55122.9391 DMX_0030 
55156.2186 +1.2634774e-03 1.301e-04 55154.5519 55157.8853 DMX_0031 
55215.5388 +1.4205213e-03 1.650e-04 55214.3916 55216.6859 DMX_0032 
55244.4618 +1.0433289e-03 1.442e-04 55243.3120 55245.6116 DMX_0033 
55340.1985 +5.5735862e-04 3.548e-05 55340.1431 55340.2538 DMX_0034 
55363.1557 +5.1374100e-04 4.400e-05 55361.0845 55365.2269 DMX_0035 
55393.1037 +5.4073917e-04 5.376e-05 55390.0609 55396.1466 DMX_0036 
55430.4959 +4.7812542e-04 5.271e-05 55429.9408 55431.0509 DMX_0037 
