# Mean DMX value = -2.521234e-05 
# Uncertainty in average DM = 2.31356e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55704.0434 +1.8531463e-04 1.149e-04 55703.9934 55704.0934 DMX_0001 
55827.6840 +8.5825212e-05 4.244e-05 55826.6367 55828.7313 DMX_0002 
55865.0818 +1.7128790e-04 9.656e-05 55864.5331 55865.6305 DMX_0003 
55893.0051 +6.5799991e-05 6.181e-05 55892.4563 55893.5538 DMX_0004 
55918.9344 +2.2935858e-05 3.624e-05 55918.3860 55919.4829 DMX_0005 
55948.8523 -1.2260628e-04 9.223e-05 55948.3037 55949.4008 DMX_0006 
55972.2042 -2.7602513e-05 4.268e-05 55972.0790 55972.3293 DMX_0007 
56002.0543 +3.1830945e-05 4.481e-05 56000.0467 56004.0619 DMX_0008 
56034.5173 -1.9538434e-05 5.918e-05 56033.9653 56035.0693 DMX_0009 
56065.3581 +9.9780414e-05 9.151e-05 56064.8286 56065.8875 DMX_0010 
56101.7506 +1.0608707e-04 2.766e-05 56100.7067 56102.7945 DMX_0011 
56130.6761 -4.0404725e-04 1.022e-03 56130.6261 56130.7261 DMX_0012 
56150.5973 +4.8881705e-05 3.703e-05 56149.5374 56151.6571 DMX_0013 
56171.5365 -6.7024682e-05 5.302e-05 56170.4540 56172.6189 DMX_0014 
56192.4864 -4.8756124e-06 3.812e-05 56192.3619 56192.6110 DMX_0015 
56208.9706 +2.9577112e-05 4.081e-05 56208.4473 56209.4939 DMX_0016 
56229.3160 +2.5965181e-05 2.375e-04 56229.2660 56229.3660 DMX_0017 
56252.3080 +1.5458801e-05 8.725e-05 56252.2580 56252.3580 DMX_0018 
56267.2515 +8.7030217e-05 3.597e-05 56266.1935 56268.3094 DMX_0019 
56288.2464 +5.6016755e-05 9.237e-05 56288.1207 56288.3721 DMX_0020 
56312.1678 +1.0210745e-04 6.097e-05 56312.0395 56312.2962 DMX_0021 
56331.6307 +8.0015470e-05 3.335e-05 56331.1126 56332.1488 DMX_0022 
56349.0090 +8.8641710e-05 4.882e-05 56346.9500 56351.0681 DMX_0023 
56367.9081 +1.0270646e-04 7.567e-05 56367.8581 56367.9581 DMX_0024 
56386.9644 +1.4785957e-04 1.367e-04 56386.8386 56387.0902 DMX_0025 
56410.9324 +1.0216556e-04 3.729e-05 56410.8824 56410.9824 DMX_0026 
56432.3342 +1.6713134e-04 3.873e-05 56431.8187 56432.8497 DMX_0027 
56452.3068 +1.9392752e-04 3.059e-05 56451.7261 56452.8875 DMX_0028 
56472.7034 +1.8453991e-04 5.701e-04 56472.6534 56472.7534 DMX_0029 
56493.5984 +2.3082762e-04 2.862e-05 56492.5699 56494.6269 DMX_0030 
56521.6132 +2.9452994e-04 6.606e-05 56520.5576 56522.6688 DMX_0031 
