# Mean DMX value = -2.869026e-05 
# Uncertainty in average DM = 1.41442e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55972.1551 -3.5827545e-03 1.620e-04 55972.0300 55972.2801 DMX_0001 
56001.9899 -3.7391746e-03 1.786e-04 55999.9828 56003.9969 DMX_0002 
56034.4712 -3.7435694e-03 1.486e-04 56033.9175 56035.0249 DMX_0003 
56065.3083 -3.5467942e-03 1.407e-04 56064.7784 56065.8382 DMX_0004 
56101.7036 -3.8355244e-03 1.378e-04 56100.6601 56102.7471 DMX_0005 
56130.6317 -3.8892794e-03 3.686e-04 56130.5817 56130.6817 DMX_0006 
56150.5560 -3.6115729e-03 1.657e-04 56149.4897 56151.6222 DMX_0007 
56171.4885 -3.6310061e-03 1.521e-04 56170.4051 56172.5719 DMX_0008 
56192.4411 -3.4904451e-03 1.600e-04 56192.3150 56192.5671 DMX_0009 
56208.9242 -3.4983556e-03 1.468e-04 56208.4017 56209.4466 DMX_0010 
56229.3511 -3.1480809e-03 1.722e-04 56229.2235 56229.4788 DMX_0011 
56251.2440 -3.4391349e-03 1.455e-04 56250.1779 56252.3101 DMX_0012 
56267.1982 -3.4127062e-03 1.161e-04 56266.1454 56268.2510 DMX_0013 
56288.2013 -3.4413808e-03 1.308e-04 56288.0734 56288.3292 DMX_0014 
56312.1257 -3.4056794e-03 1.285e-04 56311.9930 56312.2584 DMX_0015 
56331.5862 -3.2406231e-03 1.495e-04 56331.0715 56332.1008 DMX_0016 
56348.9678 -3.2962103e-03 1.322e-04 56346.9063 56351.0293 DMX_0017 
56368.4060 -3.0958499e-03 1.617e-04 56367.8183 56368.9937 DMX_0018 
56386.9251 -3.0062310e-03 1.844e-04 56386.7972 56387.0530 DMX_0019 
56410.8918 -3.0091259e-03 1.900e-04 56410.8418 56410.9418 DMX_0020 
56432.3036 -2.8414421e-03 1.644e-04 56431.7774 56432.8298 DMX_0021 
56452.2656 -2.6774351e-03 1.911e-04 56451.6854 56452.8459 DMX_0022 
56472.6639 -2.4548576e-03 4.125e-04 56472.6139 56472.7139 DMX_0023 
56493.5577 -2.3986078e-03 1.815e-04 56492.5296 56494.5858 DMX_0024 
56521.5568 -2.7933866e-03 1.300e-04 56520.5005 56522.6132 DMX_0025 
56550.9590 -2.4235961e-03 1.435e-04 56550.3984 56551.5197 DMX_0026 
56585.8420 -2.6368071e-03 1.220e-04 56585.2766 56586.4073 DMX_0027 
56613.7856 -2.4255152e-03 1.297e-04 56613.2705 56614.3006 DMX_0028 
56639.2009 -2.4101752e-03 1.202e-04 56637.1719 56641.2298 DMX_0029 
56674.1081 -2.1829045e-03 1.386e-04 56671.1143 56677.1018 DMX_0030 
56704.4831 -2.0497123e-03 1.494e-04 56702.9174 56706.0489 DMX_0031 
56726.8592 -1.8312395e-03 1.389e-04 56724.6791 56729.0394 DMX_0032 
56761.2427 -8.6287514e-04 3.745e-04 56758.6126 56763.8729 DMX_0033 
56765.8129 -1.6952161e-03 1.451e-04 56765.7629 56765.8629 DMX_0034 
56793.2904 -1.3305881e-03 1.486e-04 56791.7562 56794.8247 DMX_0035 
56823.6915 -1.6428133e-03 1.661e-04 56823.6415 56823.7415 DMX_0036 
56829.6444 -1.4267234e-03 5.068e-04 56829.5944 56829.6944 DMX_0037 
56850.6151 -1.5747210e-03 1.732e-04 56849.5857 56851.6446 DMX_0038 
56885.5876 -1.3434811e-03 1.632e-04 56885.5376 56885.6376 DMX_0039 
56893.4878 -1.2140742e-03 1.739e-04 56893.4378 56893.5378 DMX_0040 
56920.9796 -1.3406875e-03 1.517e-04 56920.4202 56921.5391 DMX_0041 
