# Mean DMX value = +8.706545e-05 
# Uncertainty in average DM = 2.75955e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56640.3865 -1.3515533e-03 1.802e-04 56640.3365 56640.4365 DMX_0001 
56675.9331 -1.1356423e-03 1.294e-04 56675.3833 56676.4829 DMX_0002 
56707.8570 -9.1163352e-04 1.170e-04 56706.3167 56709.3972 DMX_0003 
56735.7506 -1.1854897e-03 1.708e-04 56735.2120 56736.2892 DMX_0004 
56762.7160 -9.6866076e-04 6.298e-05 56762.1146 56763.3175 DMX_0005 
56790.1581 -1.0686677e-03 2.049e-04 56790.1081 56790.2081 DMX_0006 
56828.5612 -1.0126919e-03 5.045e-05 56828.0116 56829.1107 DMX_0007 
56850.4553 -9.8915951e-04 8.240e-05 56849.8995 56851.0111 DMX_0008 
56885.8350 -9.9872103e-04 4.954e-05 56885.7776 56885.8925 DMX_0009 
56893.8654 -9.5337082e-04 1.051e-04 56893.8154 56893.9154 DMX_0010 
56922.8439 -1.2153860e-03 1.920e-04 56922.7939 56922.8939 DMX_0011 
56947.1853 -1.0054549e-03 5.360e-05 56945.6697 56948.7008 DMX_0012 
56977.6540 -6.0327742e-04 2.181e-04 56977.6040 56977.7040 DMX_0013 
57011.9910 -9.8661079e-04 5.755e-05 57011.4233 57012.5587 DMX_0014 
57040.9856 -1.1301800e-03 1.005e-04 57040.4247 57041.5464 DMX_0015 
57079.3176 -1.1640352e-03 1.351e-04 57078.2774 57080.3578 DMX_0016 
57101.7688 -1.2125404e-03 2.756e-04 57101.1888 57102.3487 DMX_0017 
57131.6569 -9.5416920e-04 7.669e-05 57131.1003 57132.2135 DMX_0018 
57161.5868 -9.5012013e-04 7.807e-05 57161.0371 57162.1365 DMX_0019 
57194.5276 -9.1813250e-04 7.050e-05 57193.9671 57195.0882 DMX_0020 
57228.8941 -1.0405271e-03 1.626e-04 57228.8441 57228.9441 DMX_0021 
57248.7464 -6.4951861e-04 1.076e-04 57248.6964 57248.7964 DMX_0022 
57272.3421 -6.1489012e-04 2.706e-04 57272.2921 57272.3921 DMX_0023 
57300.4995 -9.2992538e-04 1.396e-04 57300.4495 57300.5495 DMX_0024 
57335.0030 -8.5850550e-04 4.263e-05 57334.4537 57335.5523 DMX_0025 
57364.5593 +1.0746716e-03 8.009e-04 57364.5093 57364.6093 DMX_0026 
57394.7960 -9.7145812e-04 8.528e-05 57394.1963 57395.3958 DMX_0027 
57431.9113 -7.6702122e-04 1.152e-04 57431.3417 57432.4810 DMX_0028 
57457.9352 -8.2201379e-04 6.155e-05 57457.7576 57458.1129 DMX_0029 
57489.4895 -7.4699441e-04 1.017e-04 57488.6989 57490.2801 DMX_0030 
57522.5061 -6.8073151e-04 7.894e-05 57521.9558 57523.0563 DMX_0031 
57551.3745 -6.7324026e-04 8.483e-05 57550.8000 57551.9490 DMX_0032 
57579.1922 -7.7678119e-04 1.097e-04 57578.4372 57579.9471 DMX_0033 
57614.2914 -6.1177195e-04 8.604e-05 57613.7114 57614.8715 DMX_0034 
57644.8920 -6.6566534e-04 1.312e-04 57644.3444 57645.4396 DMX_0035 
57672.7278 -7.5520864e-04 1.202e-04 57672.1758 57673.2799 DMX_0036 
57701.7038 -8.5744583e-04 1.529e-04 57701.1537 57702.2540 DMX_0037 
57729.9055 -5.9303764e-04 6.843e-05 57729.3658 57730.4452 DMX_0038 
57764.8278 -5.2541918e-04 5.931e-05 57764.3868 57765.2688 DMX_0039 
57795.0299 -5.9453118e-04 4.777e-05 57794.8533 57795.2066 DMX_0040 
57829.9650 -4.4534161e-04 4.282e-05 57829.9150 57830.0150 DMX_0041 
57856.9987 -3.7195294e-04 6.283e-05 57856.8856 57857.1118 DMX_0042 
57886.9150 -2.9195412e-04 1.186e-04 57886.6739 57887.1560 DMX_0043 
57914.3722 -3.4582496e-04 4.806e-05 57913.9068 57914.8376 DMX_0044 
57941.9634 -5.4762557e-04 2.372e-04 57941.9134 57942.0134 DMX_0045 
57949.3611 -2.1442228e-04 1.262e-04 57948.8329 57949.8892 DMX_0046 
57978.2568 -2.0761511e-04 1.580e-04 57977.7059 57978.8078 DMX_0047 
58011.7368 -2.4566230e-04 9.280e-05 58011.6232 58011.8503 DMX_0048 
58043.6066 -2.8554770e-04 6.619e-05 58040.4987 58046.7145 DMX_0049 
58063.2174 -3.0520281e-04 1.276e-04 58063.1041 58063.3307 DMX_0050 
58093.9441 +2.3142389e-05 4.607e-05 58093.3674 58094.5207 DMX_0051 
58160.2667 +1.2223712e-04 1.855e-04 58160.2167 58160.3167 DMX_0052 
58181.7308 +1.8751105e-04 3.666e-05 58181.0922 58182.3694 DMX_0053 
58210.0947 +1.6081329e-04 7.140e-05 58209.9696 58210.2199 DMX_0054 
58238.8879 +4.9490672e-04 1.790e-04 58238.8379 58238.9379 DMX_0055 
58265.8726 +3.2795302e-04 6.212e-05 58265.7599 58265.9854 DMX_0056 
58301.3821 +3.2718703e-04 1.271e-04 58300.8314 58301.9329 DMX_0057 
58334.9414 +3.7759610e-05 2.437e-04 58334.4009 58335.4819 DMX_0058 
58366.4422 +3.2962086e-04 3.892e-05 58364.2979 58368.5864 DMX_0059 
58389.0911 +1.5533268e-04 1.569e-04 58389.0411 58389.1411 DMX_0060 
58397.0140 +3.5829220e-04 4.139e-05 58396.0463 58397.9817 DMX_0061 
58404.8933 +2.9891597e-04 1.421e-04 58404.8433 58404.9433 DMX_0062 
58411.9231 +1.1545040e-04 2.975e-04 58411.8731 58411.9731 DMX_0063 
58422.8538 +3.0824553e-04 3.756e-05 58419.8110 58425.8967 DMX_0064 
58436.8782 +3.9693521e-04 2.786e-04 58433.9047 58439.8516 DMX_0065 
58451.3596 +4.0125012e-04 7.080e-05 58448.8690 58453.8502 DMX_0066 
58460.4210 +4.3051485e-04 3.873e-05 58459.0373 58461.8048 DMX_0067 
58466.7570 +6.2329539e-04 3.946e-04 58466.7070 58466.8070 DMX_0068 
58474.8193 +1.0922277e-03 4.118e-04 58474.7693 58474.8693 DMX_0069 
58489.2563 +4.6486578e-04 4.958e-05 58487.7862 58490.7263 DMX_0070 
58495.6440 +7.0623578e-04 2.104e-04 58495.5940 58495.6940 DMX_0071 
58502.7876 +9.4641194e-05 9.134e-04 58502.7376 58502.8376 DMX_0072 
58512.6403 +7.5634120e-04 9.119e-05 58509.5510 58515.7297 DMX_0073 
58519.6035 +5.2226249e-04 3.449e-05 58516.5256 58522.6813 DMX_0074 
58541.7832 +4.5718828e-04 7.650e-05 58538.5718 58544.9946 DMX_0075 
58546.8299 +5.0309706e-04 1.713e-04 58545.0791 58548.5807 DMX_0076 
58556.5436 +6.8167051e-04 1.889e-04 58553.4682 58559.6189 DMX_0077 
58569.0194 +4.2124114e-04 4.432e-04 58567.3955 58570.6433 DMX_0078 
58581.0068 +5.6865959e-04 3.547e-05 58578.5409 58583.4726 DMX_0079 
58586.5589 +1.2366209e-03 5.741e-04 58586.5089 58586.6089 DMX_0080 
58602.5206 +6.6723995e-04 7.667e-05 58599.3146 58605.7266 DMX_0081 
58607.6486 +6.0104744e-04 9.842e-05 58605.8905 58609.4067 DMX_0082 
58612.4548 +9.7857045e-04 1.607e-04 58612.4048 58612.5048 DMX_0083 
58635.3617 +6.4286298e-04 3.777e-05 58633.3067 58637.4166 DMX_0084 
58643.2671 +8.3722317e-04 2.212e-04 58643.2171 58643.3171 DMX_0085 
58670.7477 +6.7957354e-04 5.029e-05 58669.2653 58672.2301 DMX_0086 
58690.1443 +7.6327575e-04 1.350e-04 58690.0943 58690.1943 DMX_0087 
58698.6602 +6.8619518e-04 4.028e-05 58697.1747 58700.1457 DMX_0088 
58713.0798 +5.8733375e-04 1.776e-04 58713.0298 58713.1298 DMX_0089 
58720.0275 +8.8376465e-04 3.390e-04 58719.9775 58720.0775 DMX_0090 
58730.5888 +7.7194686e-04 3.613e-05 58728.1317 58733.0458 DMX_0091 
58757.0055 +7.4740658e-04 5.507e-05 58754.0193 58759.9917 DMX_0092 
58762.2938 +6.8540540e-04 4.024e-05 58762.0253 58762.5624 DMX_0093 
58785.9632 +7.4764817e-04 5.122e-05 58782.8632 58789.0632 DMX_0094 
58800.8917 +6.3478404e-04 1.417e-04 58797.7685 58804.0149 DMX_0095 
58809.9021 +8.1559850e-04 1.875e-04 58809.8521 58809.9521 DMX_0096 
58822.0257 +8.4070875e-04 6.109e-05 58819.0817 58824.9697 DMX_0097 
58829.8068 +9.3968307e-04 8.646e-05 58826.6921 58832.9215 DMX_0098 
58839.7359 +1.0410614e-03 2.094e-04 58839.6859 58839.7859 DMX_0099 
58850.7264 +9.9729049e-04 6.935e-05 58848.6294 58852.8234 DMX_0100 
58876.9888 +8.5933260e-04 5.906e-05 58873.7277 58880.2498 DMX_0101 
58882.2663 +9.2008392e-04 5.266e-05 58880.5983 58883.9343 DMX_0102 
58889.6652 +1.3728940e-03 4.092e-04 58889.6152 58889.7152 DMX_0103 
58896.7150 +3.2754101e-04 4.414e-04 58896.6650 58896.7650 DMX_0104 
58908.7282 +9.8972157e-04 4.183e-05 58905.8779 58911.5786 DMX_0105 
58920.0813 +1.1839121e-03 1.560e-04 58917.4670 58922.6956 DMX_0106 
58931.5791 +1.3266664e-03 3.558e-04 58931.5291 58931.6291 DMX_0107 
58941.6581 +1.0433417e-03 5.211e-05 58938.8234 58944.4928 DMX_0108 
58945.4576 +8.6013343e-04 1.054e-04 58945.4076 58945.5076 DMX_0109 
