# Mean DMX value = -2.720943e-03 
# Uncertainty in average DM = 1.34502e-01 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57713.8220 -9.3061742e-04 2.720e-04 57713.2636 57714.3804 DMX_0001 
57744.7403 -1.5051479e-03 2.340e-04 57744.1934 57745.2872 DMX_0002 
57893.3369 -2.3327379e-03 3.703e-04 57892.7778 57893.8961 DMX_0003 
57922.2596 -1.8607566e-03 2.276e-04 57921.7009 57922.8182 DMX_0004 
57949.1890 -1.5170725e-03 2.117e-04 57948.6368 57949.7412 DMX_0005 
57977.5968 -1.5014614e-03 1.961e-04 57976.5381 57978.6554 DMX_0006 
58012.0096 -1.7209863e-03 1.670e-04 58011.4556 58012.5636 DMX_0007 
58035.9367 -2.0946052e-03 6.211e-04 58035.3874 58036.4861 DMX_0008 
58061.9285 -1.5266158e-03 2.516e-04 58061.3743 58062.4827 DMX_0009 
58102.2966 -1.2428513e-03 2.195e-04 58101.2779 58103.3152 DMX_0010 
58135.7126 -2.3265810e-03 2.738e-04 58135.1359 58136.2893 DMX_0011 
58160.6217 -1.7255650e-03 1.811e-04 58160.0644 58161.1790 DMX_0012 
58187.5473 -1.7692935e-03 1.875e-04 58186.9929 58188.1016 DMX_0013 
58216.4692 -1.1059365e-03 5.512e-04 58215.9197 58217.0187 DMX_0014 
58240.4249 -9.4553111e-04 3.978e-04 58239.8626 58240.9873 DMX_0015 
58272.3161 -1.1951349e-03 1.768e-04 58271.7595 58272.8728 DMX_0016 
58301.2332 -8.2622161e-04 1.813e-04 58300.6777 58301.7886 DMX_0017 
58335.0916 -5.3178723e-04 3.541e-04 58334.5255 58335.6577 DMX_0018 
58364.9881 -4.7845897e-04 2.254e-04 58364.4424 58365.5338 DMX_0019 
58396.9104 -3.1333408e-04 2.660e-04 58396.3559 58397.4649 DMX_0020 
58424.8285 -4.2052438e-04 1.861e-04 58424.2889 58425.3680 DMX_0021 
58459.7346 +8.0510220e-05 2.169e-04 58459.1792 58460.2899 DMX_0022 
58489.6515 +4.8810592e-04 2.257e-04 58489.0979 58490.2051 DMX_0023 
58517.5991 +8.6450748e-05 2.566e-04 58517.0565 58518.1417 DMX_0024 
58544.5076 +6.7433206e-04 2.434e-04 58543.9489 58545.0663 DMX_0025 
58581.4070 +8.3033130e-04 2.255e-04 58579.8578 58582.9561 DMX_0026 
58605.8202 +8.8914626e-04 9.912e-04 58605.7646 58605.8758 DMX_0027 
58636.2531 +7.0438678e-04 2.183e-04 58635.6970 58636.8092 DMX_0028 
58671.1600 +9.7563595e-04 2.104e-04 58670.6046 58671.7154 DMX_0029 
58699.0772 +1.1523839e-03 2.091e-04 58698.5208 58699.6336 DMX_0030 
58728.9928 +1.3067220e-03 2.136e-04 58728.4369 58729.5487 DMX_0031 
58762.3882 +1.6364486e-03 3.082e-04 58762.3321 58762.4442 DMX_0032 
58787.8564 +1.1542950e-03 3.605e-04 58787.3004 58788.4123 DMX_0033 
58819.7581 +2.4600940e-03 3.192e-04 58819.2275 58820.2888 DMX_0034 
58849.1573 +4.6412334e-03 5.190e-04 58849.1039 58849.2107 DMX_0035 
58879.5745 +3.2094577e-03 6.188e-04 58879.0223 58880.1267 DMX_0036 
58907.5066 +3.8560217e-03 2.141e-04 58906.9648 58908.0483 DMX_0037 
58942.4262 +3.7256653e-03 2.604e-04 58941.8868 58942.9655 DMX_0038 
